actor,gross,budget,profit_ratio
Ellen Burstyn,98877999,1.09e+08,0.907137605504587
Jared Leto,82330201,78500000,1.04879236942675
Jennifer Connelly,568917005,628500000,0.905198098647574
Guy Pearce,615285855,4.29e+08,1.43423276223776
Carrie-Anne Moss,535045857,4.03e+08,1.3276572133995
Joe Pantoliano,25561064,1.5e+07,1.70407093333333
Dennis Quaid,950542249,856400000,1.10992789467539
Jim Caviezel,276763600,4.21e+08,0.657395724465558
Shawn Doyle,44983704,3.1e+07,1.45108722580645
Christian Bale,2233518700,1.439e+09,1.55213252258513
Justin Theroux,22266997,2.2e+07,1.01213622727273
Josh Lucas,196558809,2.69e+08,0.730701892193308
Billy Crudup,103900108,159500000,0.651411335423198
Patrick Fugit,33219100,65500000,0.507161832061069
Kate Hudson,499756881,4.6e+08,1.08642800217391
Denzel Washington,1642017293,1313500000,1.25010833117625
Will Patton,142459480,6.3e+07,2.26126158730159
Wood Harris,115648585,3e+07,3.85495283333333
Nicolas Cage,1505453774,1783220000,0.844233338567311
Téa Leoni,315479536,2.91e+08,1.08412211683849
Don Cheadle,381748810,1.8e+08,2.12082672222222
Leonardo DiCaprio,1621969665,1.287e+09,1.26027168997669
Daniel York,39778599,5e+07,0.79557198
Patcharawan Patarakijjanon,39778599,5e+07,0.79557198
Devon Sawa,53302314,2.3e+07,2.31749191304348
Ali Larter,245606189,1.83e+08,1.34211032240437
Kerr Smith,53302314,2.3e+07,2.31749191304348
Jennifer Lopez,523268672,4.58e+08,1.14250801746725
Vince Vaughn,1035462548,581350000,1.78113451105186
Vincent D'Onofrio,77387429,1.67e+08,0.463397778443114
Geoffrey Rush,424989865,231500000,1.83580935205184
Kate Winslet,680922728,725500000,0.938556482425913
Joaquin Phoenix,799932772,670500000,1.19303918269948
Kevin Spacey,443545859,473600000,0.936541087415541
Haley Joel Osment,172344060,2.08e+08,0.828577211538462
Helen Hunt,100423338,76500000,1.31272337254902
Mel Gibson,579742392,4.52e+08,1.28261591150442
Heath Ledger,875926158,5.8e+08,1.5102175137931
Joely Richardson,134922107,118500000,1.1385831814346
Patrick Stewart,953219283,6.89e+08,1.38348226850508
Hugh Jackman,2355302228,2137250000,1.10202467095567
Ian McKellen,1833495555,1.484e+09,1.23550913409704
Cuba Gooding Jr.,334946502,3.41e+08,0.982247806451613
Robert De Niro,1607354145,1.357e+09,1.18449089535741
Charlize Theron,771221486,882500000,0.873905366572238
Giovanni Ribisi,302053295,392795000,0.768984572105042
Vin Diesel,1907541625,1.207e+09,1.58039902651201
Nia Long,352581020,1.18e+08,2.98797474576271
Matthew McConaughey,970403846,7.32e+08,1.32568831420765
Bill Paxton,231725179,270050000,0.858082499537123
Harvey Keitel,118451272,162400000,0.729379753694581
Woody Allen,48219121,6.2e+07,0.777727758064516
Tracey Ullman,18410898,3.3e+07,0.557906
Hugh Grant,347664856,3.75e+08,0.927106282666667
Sean Connery,118231223,1.21e+08,0.977117545454545
Rob Brown,96061726,1.13e+08,0.850103769911504
F. Murray Abraham,110842396,6.8e+07,1.63003523529412
Ed Harris,560695836,5e+08,1.121391672
Marcia Gay Harden,115926665,136200000,0.851150256975037
Robert Knott,8596914,6e+06,1.432819
James Levine,60507228,8e+07,0.75634035
Steve Martin,986418380,7.62e+08,1.29451230971129
Itzhak Perlman,60507228,8e+07,0.75634035
Julia Sawalha,106793915,4.5e+07,2.37319811111111
Phil Daniels,106793915,4.5e+07,2.37319811111111
Radha Mitchell,123256512,1.81e+08,0.680975204419889
Cole Hauser,241051534,2.36e+08,1.02140480508475
Anna Faris,1204882977,637500000,1.89001251294118
Jon Abrahams,157014002,20700000,7.58521748792271
Marlon Wayans,588468832,4.04e+08,1.45660601980198
Amanda Schull,17174870,1.8e+07,0.954159444444444
Ethan Stiefel,17174870,1.8e+07,0.954159444444444
Sascha Radetsky,17174870,1.8e+07,0.954159444444444
Javier Bardem,568462602,370500000,1.53431201619433
Johnny Depp,3258014057,2.915e+09,1.11767206072041
Jim Carrey,1279179631,9.59e+08,1.33386822836288
Renée Zellweger,854006223,6.88e+08,1.24128811482558
Anthony Anderson,183511256,1.34e+08,1.36948698507463
Laura Linney,236059643,171900000,1.37323817917394
Matthew Broderick,360619138,407400000,0.885172160039273
Mark Ruffalo,1076504849,877100000,1.22734562649641
David Spade,245957419,167700000,1.46665127608825
John Goodman,1158844574,7.35e+08,1.57665928435374
Eartha Kitt,89296573,1e+08,0.89296573
Bruce Willis,1147521052,1214545000,0.944815591023799
Samuel L. Jackson,1487149809,1363665000,1.09055362497388
Robin Wright,189251554,155700000,1.21548846499679
Kevin Bacon,210324516,2.5e+08,0.841298064
Elisabeth Shue,144356853,166900000,0.864930215698023
Josh Brolin,610134854,686200000,0.889150180705334
Tom Cruise,1812799061,1.669e+09,1.08615881426004
Dougray Scott,262163667,223495000,1.17301804067205
Thandie Newton,721619273,4.78e+08,1.50966375104603
Angelina Jolie Pitt,1749236450,1.742e+09,1.00415410447761
Kirsten Dunst,1255171916,821500000,1.52790251491175
Josh Hartnett,599718210,654400000,0.916439807457213
James Woods,5165163,8500000,0.607666235294118
Natalie Portman,1609521348,928100000,1.73421112811119
James Frain,33771174,2.5e+07,1.35084696
Ashley Judd,249726152,2.53e+08,0.987059889328063
Michael Douglas,447540600,4.91e+08,0.911487983706721
Tobey Maguire,1378769171,8.76e+08,1.57393740981735
Frances McDormand,301495391,290500000,1.03784988296041
Glenn Close,125057517,9.5e+07,1.31639491578947
Cameron Diaz,2361027635,1.468e+09,1.60832945163488
Will Smith,1783033146,1497100000,1.19099134727139
Matt Damon,2281985155,1782700000,1.28007244909407
Clint Eastwood,400916656,1.78e+08,2.25234076404494
Tommy Lee Jones,841687921,8.01e+08,1.05079640574282
Donald Sutherland,348929779,3.06e+08,1.14029339542484
Sandra Bullock,2059924119,8.3e+08,2.48183628795181
Michael Caine,769153747,5.79e+08,1.32841752504318
Benjamin Bratt,1030419807,5.22e+08,1.9739843045977
