"End Date","USD/AUD","","","","","","","","",""
"2015-12-31","1.37945",,,,,,,,,
"2015-11-30","1.39836",,,,,,,,,
"2015-10-31","1.38736",,,,,,,,,
"2015-09-30","1.41684",,,,,,,,,
"2015-08-31","1.36905",,,,,,,,,
"2015-07-31","1.34864",,,,,,,,,
"2015-06-30","1.29646",,,,,,,,,
"2015-05-31","1.26855",,,,,,,,,
"2015-04-30","1.29369",,,,,,,,,
"2015-03-31","1.29319",,,,,,,,,
"2015-02-28","1.28257",,,,,,,,,
"2015-01-31","1.23798",,,,,,,,,
"2014-12-31","1.21419",,,,,,,,,
"2014-11-30","1.15511",,,,,,,,,
"2014-10-31","1.14084",,,,,,,,,
"2014-09-30","1.10513",,,,,,,,,
"2014-08-31","1.07404",,,,,,,,,
"2014-07-31","1.06492",,,,,,,,,
"2014-06-30","1.06706",,,,,,,,,
"2014-05-31","1.07446",,,,,,,,,
"2014-04-30","1.07308",,,,,,,,,
"2014-03-31","1.10172",,,,,,,,,
"2014-02-28","1.11607",,,,,,,,,
"2014-01-31","1.12898",,,,,,,,,
"2013-12-31","1.11350",,,,,,,,,
"2013-11-30","1.07262",,,,,,,,,
"2013-10-31","1.05019",,,,,,,,,
"2013-09-30","1.07869",,,,,,,,,
"2013-08-31","1.10584",,,,,,,,,
"2013-07-31","1.09157",,,,,,,,,
"2013-06-30","1.06117",,,,,,,,,
"2013-05-31","1.00857",,,,,,,,,
"2013-04-30","0.963492",,,,,,,,,
"2013-03-31","0.966926",,,,,,,,,
"2013-02-28","0.968722",,,,,,,,,
"2013-01-31","0.952874",,,,,,,,,
"2012-12-31","0.956181",,,,,,,,,
"2012-11-30","0.961561",,,,,,,,,
"2012-10-31","0.971582",,,,,,,,,
"2012-09-30","0.961327",,,,,,,,,
"2012-08-31","0.954397",,,,,,,,,
"2012-07-31","0.970686",,,,,,,,,
"2012-06-30","1.00216",,,,,,,,,
"2012-05-31","1.00246",,,,,,,,,
"2012-04-30","0.965316",,,,,,,,,
"2012-03-31","0.948286",,,,,,,,,
"2012-02-29","0.932328",,,,,,,,,
"2012-01-31","0.961686",,,,,,,,,
"2011-12-31","0.986881",,,,,,,,,
"2011-11-30","0.990225",,,,,,,,,
"2011-10-31","0.986734",,,,,,,,,
"2011-09-30","0.975451",,,,,,,,,
"2011-08-31","0.953132",,,,,,,,,
"2011-07-31","0.927484",,,,,,,,,
"2011-06-30","0.943003",,,,,,,,,
"2011-05-31","0.935672",,,,,,,,,
"2011-04-30","0.944339",,,,,,,,,
"2011-03-31","0.988944",,,,,,,,,
"2011-02-28","0.990697",,,,,,,,,
"2011-01-31","1.00315",,,,,,,,,
"2010-12-31","1.00681",,,,,,,,,
"2010-11-30","1.01106",,,,,,,,,
"2010-10-31","1.01827",,,,,,,,,
"2010-09-30","1.06771",,,,,,,,,
"2010-08-31","1.11034",,,,,,,,,
"2010-07-31","1.14240",,,,,,,,,
"2010-06-30","1.17193",,,,,,,,,
"2010-05-31","1.14781",,,,,,,,,
"2010-04-30","1.07945",,,,,,,,,
"2010-03-31","1.09668",,,,,,,,,
"2010-02-28","1.12746",,,,,,,,,
"2010-01-31","1.09802",,,,,,,,,
"2009-12-31","1.10955",,,,,,,,,
"2009-11-30","1.08824",,,,,,,,,
"2009-10-31","1.10486",,,,,,,,,
"2009-09-30","1.16076",,,,,,,,,
"2009-08-31","1.19664",,,,,,,,,
"2009-07-31","1.24556",,,,,,,,,
"2009-06-30","1.24510",,,,,,,,,
"2009-05-31","1.30848",,,,,,,,,
"2009-04-30","1.39713",,,,,,,,,
"2009-03-31","1.50323",,,,,,,,,
"2009-02-28","1.53747",,,,,,,,,
"2009-01-31","1.47516",,,,,,,,,
"2008-12-31","1.49295",,,,,,,,,
"2008-11-30","1.52360",,,,,,,,,
"2008-10-31","1.46089",,,,,,,,,
"2008-09-30","1.21702",,,,,,,,,
"2008-08-31","1.13364",,,,,,,,,
"2008-07-31","1.03846",,,,,,,,,
"2008-06-30","1.05003",,,,,,,,,
"2008-05-31","1.05342",,,,,,,,,
"2008-04-30","1.07470",,,,,,,,,
"2008-03-31","1.08305",,,,,,,,,
"2008-02-29","1.09714",,,,,,,,,
"2008-01-31","1.13487",,,,,,,,,
"2007-12-31","1.14576",,,,,,,,,
"2007-11-30","1.11317",,,,,,,,,
"2007-10-31","1.11150",,,,,,,,,
"2007-09-30","1.18193",,,,,,,,,
"2007-08-31","1.20541",,,,,,,,,
"2007-07-31","1.15439",,,,,,,,,
"2007-06-30","1.18710",,,,,,,,,
"2007-05-31","1.21255",,,,,,,,,
"2007-04-30","1.20956",,,,,,,,,
"2007-03-31","1.26163",,,,,,,,,
"2007-02-28","1.27780",,,,,,,,,
"2007-01-31","1.27718",,,,,,,,,
"2006-12-31","1.27223",,,,,,,,,
"2006-11-30","1.29506",,,,,,,,,
"2006-10-31","1.32671",,,,,,,,,
"2006-09-30","1.32287",,,,,,,,,
"2006-08-31","1.31062",,,,,,,,,
"2006-07-31","1.32922",,,,,,,,,
"2006-06-30","1.34983",,,,,,,,,
"2006-05-31","1.30863",,,,,,,,,
"2006-04-30","1.35987",,,,,,,,,
"2006-03-31","1.37461",,,,,,,,,
"2006-02-28","1.34816",,,,,,,,,
"2006-01-31","1.33451",,,,,,,,,
"2005-12-31","1.34753",,,,,,,,,
"2005-11-30","1.35987",,,,,,,,,
"2005-10-31","1.32575",,,,,,,,,
"2005-09-30","1.30585",,,,,,,,,
"2005-08-31","1.31248",,,,,,,,,
"2005-07-31","1.32832",,,,,,,,,
"2005-06-30","1.30448",,,,,,,,,
"2005-05-31","1.30563",,,,,,,,,
"2005-04-30","1.29209",,,,,,,,,
"2005-03-31","1.27372",,,,,,,,,
"2005-02-28","1.27807",,,,,,,,,
"2005-01-31","1.30463",,,,,,,,,
"2004-12-31","1.30260",,,,,,,,,
"2004-11-30","1.29419",,,,,,,,,
"2004-10-31","1.36101",,,,,,,,,
"2004-09-30","1.42431",,,,,,,,,
"2004-08-31","1.40522",,,,,,,,,
"2004-07-31","1.39583",,,,,,,,,
"2004-06-30","1.43933",,,,,,,,,
"2004-05-31","1.41765",,,,,,,,,
"2004-04-30","1.34031",,,,,,,,,
"2004-03-31","1.33405",,,,,,,,,
"2004-02-29","1.28795",,,,,,,,,
"2004-01-31","1.30090",,,,,,,,,
"2003-12-31","1.35169",,,,,,,,,
"2003-11-30","1.39531",,,,,,,,,
"2003-10-31","1.44215",,,,,,,,,
"2003-09-30","1.50771",,,,,,,,,
"2003-08-31","1.53305",,,,,,,,,
"2003-07-31","1.51083",,,,,,,,,
"2003-06-30","1.50385",,,,,,,,,
"2003-05-31","1.54255",,,,,,,,,
"2003-04-30","1.63829",,,,,,,,,
"2003-03-31","1.66103",,,,,,,,,
"2003-02-28","1.68211",,,,,,,,,
"2003-01-31","1.71496",,,,,,,,,
"2002-12-31","1.77639",,,,,,,,,
"2002-11-30","1.77975",,,,,,,,,
"2002-10-31","1.81626",,,,,,,,,
"2002-09-30","1.82731",,,,,,,,,
"2002-08-31","1.84549",,,,,,,,,
"2002-07-31","1.80802",,,,,,,,,
"2002-06-30","1.75957",,,,,,,,,
"2002-05-31","1.81759",,,,,,,,,
"2002-04-30","1.86458",,,,,,,,,
"2002-03-31","1.90120",,,,,,,,,
"2002-02-28","1.94790",,,,,,,,,
"2002-01-31","1.93374",,,,,,,,,
"2001-12-31","1.94507",,,,,,,,,
"2001-11-30","1.93369",,,,,,,,,
"2001-10-31","1.97856",,,,,,,,,
"2001-09-30","1.97296",,,,,,,,,
"2001-08-31","1.90318",,,,,,,,,
"2001-07-31","1.96260",,,,,,,,,
"2001-06-30","1.92917",,,,,,,,,
"2001-05-31","1.91933",,,,,,,,,
"2001-04-30","1.98624",,,,,,,,,
"2001-03-31","1.98361",,,,,,,,,
"2001-02-28","1.87095",,,,,,,,,
"2001-01-31","1.79817",,,,,,,,,
"2000-12-31","1.82231",,,,,,,,,
"2000-11-30","1.91384",,,,,,,,,
"2000-10-31","1.88738",,,,,,,,,
"2000-09-30","1.80493",,,,,,,,,
"2000-08-31","1.71919",,,,,,,,,
"2000-07-31","1.69909",,,,,,,,,
"2000-06-30","1.68255",,,,,,,,,
"2000-05-31","1.72635",,,,,,,,,
"2000-04-30","1.67620",,,,,,,,,
"2000-03-31","1.63987",,,,,,,,,
"2000-02-29","1.59150",,,,,,,,,
"2000-01-31","1.52275",,,,,,,,,
""
"Period Average","1.32546","","","","","","","","",""
"Period Low","0.927484","","","","","","","","",""
"Period High","1.98624","","","","","","","","",""
