name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
A Beautiful Mind (2001)            ,"8.2 based on 608,901 user ratings",2002-01-04,NA,NA,72,"1,170 user",204 critic,562,"mathematician,conspiracy,cryptography,mental-illness,nobel-prize","Biography,Drama","Rated PG-13 for intense thematic material, sexual content and a scene of violence",USA,English,58000000,2501096(USA),170708996,135,Color,1.85:1
I Am Sam (2001)            ,"7.6 based on 121,772 user ratings",2002-01-25,Jessie Nelson,"Sean Penn,Michelle Pfeiffer,Dakota Fanning",28,431 user,129 critic,2,"disability,child-custody,single-father,custody-battle,mentally-impaired-man",Drama,Rated PG-13 for language,USA,English,22000000,25993(USA),40270895,132,Color,1.85:1
The Lord of the Rings: The Fellowship of the Ring (2001)            ,"8.8 based on 1,235,854 user ratings",2001-12-19,NA,NA,92,"5,060 user",297 critic,239,"ring,quest,hobbit,middle-earth,elf","Action,Adventure,Drama,Fantasy",Rated PG-13 for epic battle sequences and some scary images,"New Zealand,USA","English,Sindarin",93000000,£11058045(UK),313837577,178,Color,2.35:1
Black Hawk Down (2001)            ,"7.7 based on 291,437 user ratings",2002-01-18,Ridley Scott,"Josh Hartnett,Ewan McGregor,Tom Sizemore",74,"1,102 user",200 critic,630,"somali,warlord,helicopter,somalia,army","Drama,History,War","Rated R for intense, realistic, graphic war violence, and for language","USA,UK","English,Somali",92000000,193021(USA),108638745,144,Color,2.35:1
K-PAX (2001)            ,"7.4 based on 148,269 user ratings",2001-10-26,Iain Softley,"Kevin Spacey,Jeff Bridges,Mary McCormack",49,537 user,140 critic,3,"science,extraterrestrial,planet,patient,hospital","Drama,Mystery,Sci-Fi","Rated PG-13 for a sequence of violent images, and brief language and sensuality","USA,Germany",English,48000000,17215275(USA),50173190,120,Color,2.35:1
The Royal Tenenbaums (2001)            ,"7.6 based on 208,746 user ratings",2002-01-04,Wes Anderson,"Gene Hackman,Gwyneth Paltrow,Anjelica Huston",75,962 user,220 critic,1,"family-relationships,brother-brother-relationship,father-daughter-relationship,genius,thrown-through-a-window","Comedy,Drama","Rated R for some language, sexuality/nudity and drug content",USA,"English,Italian",21000000,276981(USA),52353636,110,Color,2.35:1
Waking Life (2001)            ,"7.8 based on 48,917 user ratings",2001-11-16,Richard Linklater,"Ethan Hawke,Trevor Jack Brooks,Lorelei Linklater",82,510 user,145 critic,3,"philosophy,dream,dreaming,death,cult-film","Animation,Drama,Fantasy",Rated R for language and some violent images,USA,English,NA,88977(USA),2892011,99,Color,1.85:1
"Monsters, Inc. (2001)            ","8.1 based on 583,844 user ratings",2001-11-02,"Pete Docter,David Silverman","Billy Crystal,John Goodman,Mary Gibbs",78,592 user,250 critic,825,"monster,scream,friend,rival,little-girl","Animation,Adventure,Comedy,Family,Fantasy",NA,USA,English,115000000,62577067(USA),289907418,92,Color,1.85:1
The Man Who Wasn't There (2001)            ,"7.6 based on 85,896 user ratings",2001-11-16,"Joel Coen,Ethan Coen","Billy Bob Thornton,Frances McDormand,Michael Badalucco",73,442 user,194 critic,4,"neo-noir,blackmail,laconic,barber,chain-smoking","Crime,Drama",Rated R for a scene of violence,"USA,UK","English,Italian,French",20000000,£419609(UK),7494849,116, Black and White,1.85:1
Ocean's Eleven (2001)            ,"7.8 based on 401,754 user ratings",2001-12-07,Steven Soderbergh,"George Clooney,Brad Pitt,Julia Roberts",74,846 user,186 critic,532,"casino,card-dealer,ulcer,criminal-mastermind,recruiting","Crime,Thriller",Rated PG-13 for some language and sexual content,USA,"English,Italian,Cantonese",85000000,38107822(USA),183405771,116,Color,2.35:1
Donnie Darko (2001)            ,"8.1 based on 579,557 user ratings",2001-10-26,Richard Kelly,"Jake Gyllenhaal,Jena Malone,Mary McDonnell",71,"2,107 user",283 critic,438,"parallel-universe,insanity,death,time-travel,1980s","Drama,Sci-Fi,Thriller","Rated R for language, some drug use and violence",USA,English,4500000,110494(USA),727883,113,Color,2.35:1
The Others (2001)            ,"7.6 based on 268,104 user ratings",2001-08-10,Alejandro Amenábar,"Nicole Kidman,Christopher Eccleston,Fionnula Flanagan",74,"1,109 user",239 critic,1,"mansion,haunting,xeroderma-pigmentosum,curtain,mute","Fantasy,Horror,Thriller",Rated PG-13 for thematic elements and frightening moments,"USA,Spain","English,French",17000000,14089952(USA),96471845,101,Color,1.85:1
Training Day (2001)            ,"7.7 based on 305,216 user ratings",2001-10-05,Antoine Fuqua,"Denzel Washington,Ethan Hawke,Scott Glenn",70,633 user,109 critic,544,"title-spoken-by-character,narc,training,lapd,narcotics","Crime,Drama,Thriller","Rated R for strong brutal violence, pervasive language, drug content and brief nudity","USA,Australia","English,Russian,Spanish,Korean",45000000,22550788(USA),76261036,122,Color,2.35:1
Original Sin (2001)            ,"6.0 based on 44,855 user ratings",2001-08-03,Michael Cristofer,"Antonio Banderas,Angelina Jolie Pitt,Thomas Jane",33,181 user,93 critic,2,"sex-scene,erotica,money,pursuit,delaware","Drama,Mystery,Romance,Thriller",Rated R for strong sexual content and some violence,"France,USA","English,German,Japanese,Latin,Spanish",42000000,6402741(USA),16252765,116,Color,2.35:1
Harry Potter and the Sorcerer's Stone (2001)            ,"7.5 based on 443,302 user ratings",2001-11-16,Chris Columbus,"Daniel Radcliffe,Rupert Grint,Richard Harris",64,"1,570 user",258 critic,96,"based-on-novel,wizard,birthday,quidditch,evil-wizard","Adventure,Family,Fantasy",Rated PG for some scary moments and mild language,"UK,USA",English,125000000,£16335627(UK),317557891,152,Color,2.35:1
Ghost World (2001)            ,"7.4 based on 96,001 user ratings",2001-09-21,NA,NA,88,488 user,122 critic,2,"high-school,friend,art-class,graduation,diner","Comedy,Drama",Rated R for strong language and some sexual content,"USA,UK,Germany",English,7000000,98791(USA),6200756,111,Color,1.85:1
Hedwig and the Angry Inch (2001)            ,"7.8 based on 26,279 user ratings",2001-08-31,John Cameron Mitchell,"John Cameron Mitchell,Miriam Shor,Stephen Trask",85,231 user,108 critic,NA,"song,band,rock-band,transsexual,sex-change","Comedy,Drama,Music,Musical",Rated R for sexual content and language,USA,"English,German",6000000,156724(USA),3029081,95,Color,1.85:1
Serendipity (2001)            ,"6.9 based on 85,305 user ratings",2001-10-05,Peter Chelsom,"John Cusack,Kate Beckinsale,Jeremy Piven",52,374 user,122 critic,2,"fate,destiny,serendipity,love,christmas","Comedy,Romance","Rated PG-13 for a scene of sexuality, and for brief language",USA,"English,French",28000000,13309241(USA),49968653,90,Color,1.85:1
Swordfish (2001)            ,"6.5 based on 155,364 user ratings",2001-06-08,Dominic Sena,"John Travolta,Hugh Jackman,Halle Berry",32,543 user,166 critic,2,"computer,terrorism,secret-agent,wearing-a-sound-wire,told-in-flashback","Action,Crime,Thriller","Rated R for violence, language and some sexuality/nudity",USA,"English,German",80000000,18145632(USA),69772969,99,Color,2.35:1
The Majestic (2001)            ,"6.9 based on 44,995 user ratings",2001-12-21,Frank Darabont,"Jim Carrey,Martin Landau,Bob Balaban",27,376 user,128 critic,NA,"communist,small-town,writer,amnesia,california","Drama,Romance",Rated PG for language and mild thematic elements,USA,English,72000000,7366207(USA),27796042,152,Color,1.85:1
Blow (2001)            ,"7.6 based on 197,759 user ratings",2001-04-06,Ted Demme,"Johnny Depp,Penélope Cruz,Franka Potente",52,426 user,147 critic,881,"cocaine,1960s,california,1970s,wealth","Biography,Crime,Drama","Rated R for pervasive drug content and language, some violence and sexuality",USA,English,30000000,12443461(USA),52937130,124,Color,2.35:1
Vanilla Sky (2001)            ,"6.9 based on 206,526 user ratings",2001-12-14,NA,NA,45,"1,248 user",153 critic,1,"reality,love,dream,lynchian,death","Fantasy,Mystery,Romance,Sci-Fi,Thriller",Rated R for sexuality and strong language,"USA,Spain","English,Spanish",68000000,25015518(USA),100614858,136,Color,1.85:1
Pearl Harbor (2001)            ,"6.1 based on 253,633 user ratings",2001-05-25,Michael Bay,"Ben Affleck,Kate Beckinsale,Josh Hartnett",44,"1,999 user",191 critic,772,"sunday,air-raid,black-smoke,japanese-military,japanese-navy","Action,Drama,History,Romance,War","Rated PG-13 for sustained intense war sequences, images of wounded, brief sensuality and some language",USA,"English,Japanese,French",140000000,75177654(USA),198539855,183, Black and White,2.35:1
Hearts in Atlantis (2001)            ,"6.9 based on 30,311 user ratings",2001-09-28,Scott Hicks,"Anthony Hopkins,Anton Yelchin,Hope Davis",55,268 user,135 critic,2,"memory,kiss,bully,mysterious-stranger,tween-girl","Drama,Mystery",Rated PG-13 for violence and thematic elements,USA,English,31000000,9021494(USA),24185781,101,Color,2.35:1
Human Nature (2001)            ,"6.4 based on 15,512 user ratings",2002-04-12,Michel Gondry,"Tim Robbins,Patricia Arquette,Rhys Ifans",56,75 user,86 critic,NA,"table-manners,mouse,body-hair,nature,scientist","Comedy,Drama,Mystery",Rated R for sexuality/nudity and language,"France,USA","English,French",NA,297340(USA),695876,96,Color,1.85:1
Riding in Cars with Boys (2001)            ,"6.4 based on 22,407 user ratings",2001-10-19,Penny Marshall,"Drew Barrymore,Steve Zahn,Adam Garcia",43,210 user,89 critic,2,"writer,boy,college,working-class,heroin","Biography,Comedy,Drama","Rated PG-13 for thematic elements, drug and sexual content",USA,English,48000000,10404652(USA),29781453,132,Color,1.85:1
A.I. Artificial Intelligence (2001)            ,"7.1 based on 238,370 user ratings",2001-06-29,Steven Spielberg,"Haley Joel Osment,Jude Law,Frances O'Connor",65,"2,153 user",281 critic,1,"boy,future,fairy,affection,robot","Adventure,Drama,Sci-Fi",Rated PG-13 for some sexual content and violent images,USA,English,100000000,29352630(USA),78616689,146,Color,1.85:1
