name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
The Life of David Gale (2003)            ,"7.5 based on 88,113 user ratings",2003-02-21,Alan Parker,"Kevin Spacey,Kate Winslet,Laura Linney",31,420 user,141 critic,3,"murder,death,activist,death-row,texas","Crime,Drama,Thriller","Rated R for violent images, nudity, language and sexuality","USA,Germany,UK","English,Spanish",50000000,7117225(USA),19593740,130,Color,2.35:1
The Lord of the Rings: The Return of the King (2003)            ,"8.9 based on 1,212,813 user ratings",2003-12-17,NA,NA,94,"3,187 user",328 critic,397,"orc,epic,ring,battle,king","Action,Adventure,Drama,Fantasy",Rated PG-13 for intense epic battle sequences and frightening images,"USA,New Zealand","English,Quenya,Old English,Sindarin",94000000,£15021761(UK),377019252,201,Color,2.35:1
Kill Bill: Vol. 1 (2003)            ,"8.1 based on 733,965 user ratings",2003-10-10,Quentin Tarantino,"Uma Thurman,David Carradine,Daryl Hannah",69,"2,104 user",354 critic,530,"bride,sword,revenge,japan,coma",Action,"Rated R for strong bloody violence, language and some sexual content",USA,"English,Japanese,French",30000000,£162857(UK),70098138,111, Black and White,2.35:1
Matchstick Men (2003)            ,"7.3 based on 105,814 user ratings",2003-09-12,Ridley Scott,"Nicolas Cage,Alison Lohman,Sam Rockwell",61,338 user,171 critic,2,"criminal,con-artist,flim-flam,neurotic,vomiting","Crime,Drama,Thriller","Rated PG-13 for thematic elements, violence, some sexual content and language",USA,English,NA,13087307(USA),36873198,116,Color,2.35:1
Identity (2003)            ,"7.3 based on 177,472 user ratings",2003-04-25,James Mangold,"John Cusack,Ray Liotta,Amanda Peet",64,713 user,136 critic,1,"motel-room-key,dissociative-identity-disorder,storm,murder,stranded","Mystery,Thriller",Rated R for strong violence and language,USA,English,30000000,16225263(USA),51475962,90,Color,2.35:1
21 Grams (2003)            ,"7.7 based on 189,423 user ratings",2004-01-16,Alejandro G. Iñárritu,"Sean Penn,Benicio Del Toro,Naomi Watts",70,559 user,192 critic,2,"nonlinear-timeline,accident,mathematician,faith,love",Drama,"Rated R for language, sexuality, some violence and drug use",USA,English,20000000,274454(USA),16248701,124,Color,1.85:1
Seabiscuit (2003)            ,"7.3 based on 57,614 user ratings",2003-07-25,Gary Ross,"Tobey Maguire,Jeff Bridges,Elizabeth Banks",72,455 user,175 critic,4,"seabiscuit,horse,jockey,horse-racing,limp","Drama,History,Sport",Rated PG-13 for some sexual situations and violent sports-related images,USA,English,87000000,20854735(USA),120147445,140, Black and White,2.35:1
Mystic River (2003)            ,"8.0 based on 337,874 user ratings",2003-10-15,Clint Eastwood,"Sean Penn,Tim Robbins,Kevin Bacon",84,934 user,229 critic,848,"friend,detective,gun,sexual-abuse,ballistics","Crime,Drama,Mystery,Thriller",Rated R for language and violence,"USA,Australia",English,25000000,640815(USA),90135191,138,Color,2.35:1
11:14 (2003)            ,"7.2 based on 38,232 user ratings",2004-08-20,Greg Marcks,"Henry Thomas,Colin Hanks,Ben Foster",65,133 user,68 critic,NA,"multiple-perspectives,van,paramedic,murder,convenience-store","Comedy,Crime,Drama","Rated R for violence, sexuality and pervasive language","USA,Canada",English,6000000,NA,NA,85,Color,1.85:1
Finding Nemo (2003)            ,"8.2 based on 690,260 user ratings",2003-05-30,"Andrew Stanton,Lee Unkrich","Albert Brooks,Ellen DeGeneres,Alexander Gould",90,865 user,300 critic,126,"great-barrier-reef,short-term-memory-loss,shark,protective-father,separation-from-family","Animation,Adventure,Comedy,Family",NA,USA,English,94000000,70251710(USA),380838870,100,Color,1.85:1
