director,mean_gross,mean_budget,number_of_movies,profit_ratio
"Aaron Blaise,Robert Walker",85329248,1.28e+08,2,0.66663475
Aaron Harvey,1887,7e+06,1,0.000269571428571429
Aaron J. Wiederspahn,23054,1e+06,1,0.023054
Aaron Russo,61200,1e+06,1,0.0612
Aaron Schneider,9176553,7500000,1,1.2235404
"Aaron Seltzer,Jason Friedberg",48546578,2e+07,2,2.4273289
Aaron Woodley,15979,4e+06,1,0.00399475
Abe Sylvia,53630,4e+06,2,0.0134075
Adam McKay,90842873.8,62800000,5,1.44654257643312
Adam Rapp,101228,3500000,2,0.0289222857142857
Adam Rodgers,49953,2500000,1,0.0199812
Adam Shankman,89503615.8333333,56500000,6,1.58413479351032
Adam Sherman,6106,1e+07,2,0.0006106
Adam Wingard,12423712,2333333.33333333,4,5.32444800000001
Adrian Lyne,52752475,5e+07,1,1.0550495
Adrienne Shelly,19067631,2e+06,1,9.5338155
Agnieszka Holland,352786,1.1e+07,1,0.0320714545454545
Agnieszka Wojtowicz-Vosloo,108229,4500000,1,0.0240508888888889
Akiva Goldsman,22451,6e+07,1,0.000374183333333333
Akiva Schaffer,24135647,6.8e+07,2,0.354935985294118
Alan Parker,16316200,37500000,2,0.435098666666667
Alan Poul,37481242,3.5e+07,1,1.07089262857143
Alan Taylor,206360018,1.7e+08,1,1.21388245882353
Albert Brooks,887416,1e+07,1,0.0887416
"Albert Hughes,Allen Hughes",52673107.6666667,5e+07,3,1.05346215333333
Alejandro Agresti,52320979,4e+07,1,1.308024475
Alejandro Amenábar,96471845,1.7e+07,1,5.67481441176471
Alejandro G. Iñárritu,31796485.25,2.2e+07,4,1.44529478409091
Alejandro Monteverde,8108247,3300000,2,2.45704454545455
Alex Gibney,523534.5,1e+06,5,0.5235345
Alex Holdridge,172177,25000,1,6.88708
Alex Kendrick,28167646,1150000,4,24.4936052173913
Alex Kurtzman,12412386,1.6e+07,1,0.775774125
Alex Proyas,112371731.5,8.5e+07,2,1.32202037058824
Alex Rivera,75727,2500000,3,0.0302908
"Alex Smith,Andrew J. Smith",13134,5e+05,1,0.026268
Alexander Bulkley,44785,1e+06,2,0.044785
Alexander Payne,56164875.1666667,17666666.6666667,6,3.17914387735849
Alexander Witt,50740078,4.5e+07,1,1.12755728888889
Alexandre Aja,12583776,2.4e+07,2,0.524324
Alexis Lloyd,14686,1e+06,1,0.014686
Alfonso Cuarón,186243368.666667,1.02e+08,3,1.82591537908497
Alfredo Rodriguez de Villa,7502429,6e+06,5,1.25040483333333
Alister Grierson,23070045,3e+07,1,0.7690015
Allen Wolf,28841,1e+06,1,0.028841
Amy Heckerling,5156651.33333333,17333333.3333333,3,0.297499115384616
Anand Tucker,12561,1.9e+07,1,0.000661105263157895
Anders Anderson,7306,2e+06,2,0.003653
Andrew Adamson,148606577.666667,202500000,3,0.733859642798356
"Andrew Adamson,Kelly Asbury",436471036,1.5e+08,1,2.90980690666667
"Andrew Adamson,Vicky Jenson",267652016,6e+07,1,4.46086693333333
Andrew Davis,54119291.3333333,58333333.3333333,3,0.92775928
Andrew Dominik,9421776,22500000,2,0.4187456
"Andrew Erwin,Jon Erwin",7047133.66666667,5e+06,3,1.40942673333333
Andrew Fleming,12729736.25,18750000,4,0.678919266666667
