Rank,RatingTomatometer,Title,No..of.Reviews,year,html_suffix
1,100%,All About Eve (1950),64,1950,/m/1000626-all_about_eve/
2,98%,Sunset Boulevard (1950),59,1950,/m/sunset_boulevard/
3,98%,The Rules of the Game (La r�gle du jeu) (1950),44,1950,/m/the_rules_of_the_game/
1,100%,Rash�mon (1951),49,1951,/m/rashomon/
2,98%,A Streetcar Named Desire (1951),53,1951,/m/1020333-streetcar_named_desire/
3,95%,An American in Paris (1951),60,1951,/m/american_in_paris/
4,98%,Strangers on a Train (1951),42,1951,/m/strangers_on_a_train/
5,94%,The Day the Earth Stood Still (1951),53,1951,/m/1005371-day_the_earth_stood_still/
1,100%,Singin' in the Rain (1952),48,1952,/m/singin_in_the_rain/
2,96%,High Noon (1952),48,1952,/m/1046060-high_noon/
1,100%,Tokyo Story (T�kyô monogatari) (1953),41,1953,/m/tokyo_story/
2,100%,The Wages of Fear (1953),40,1953,/m/wages_of_fear/
3,98%,Roman Holiday (1953),52,1953,/m/roman_holiday/
4,98%,Gentlemen Prefer Blondes (1953),40,1953,/m/gentlemen_prefer_blondes/
5,92%,From Here to Eternity (1953),49,1953,/m/1007931-from_here_to_eternity/
1,100%,Rear Window (1954),63,1954,/m/1017289-rear_window/
2,98%,On the Waterfront (1954),60,1954,/m/on_the_waterfront/
3,88%,Dial M for Murder (1954),43,1954,/m/dial_m_for_murder/
1,98%,The Night of the Hunter (1955),62,1955,/m/night_of_the_hunter/
2,96%,Rebel Without a Cause (1955),46,1955,/m/rebel_without_a_cause/
3,95%,To Catch a Thief (1955),42,1955,/m/to_catch_a_thief/
1,100%,Seven Samurai (Shichinin no Samurai) (1956),57,1956,/m/seven_samurai_1956/
2,100%,The Searchers (1956),41,1956,/m/searchers/
3,98%,Invasion of the Body Snatchers (1956),49,1956,/m/1010678-invasion_of_the_body_snatchers/
4,98%,Forbidden Planet (1956),42,1956,/m/9400/
5,93%,Gojira (1956),70,1956,/m/gojira/
6,94%,Rififi (Du Rififi Chez les Hommes) (1956),48,1956,/m/rififi/
1,100%,12 Angry Men (Twelve Angry Men) (1957),48,1957,/m/1000013-12_angry_men/
2,98%,Sweet Smell of Success (1957),47,1957,/m/sweet_smell_of_success/
3,98%,Throne of Blood (1957),42,1957,/m/throne_of_blood/
4,94%,Paths of Glory (1957),53,1957,/m/paths_of_glory/
5,94%,The Bridge on the River Kwai (1957),53,1957,/m/bridge_on_the_river_kwai/
6,95%,Wild Strawberries (1957),41,1957,/m/wild_strawberries/
7,92%,The Seventh Seal (Det Sjunde inseglet) (1957),53,1957,/m/seventh_seal/
1,97%,Vertigo (1958),64,1958,/m/vertigo/
2,96%,Touch of Evil (1958),70,1958,/m/1021749-touch_of_evil/
3,92%,Ascenseur pour l'�chafaud (Elevator to the Gallows) (Lift to the Scaffold) (Frantic) (1958),50,1958,/m/elevator_to_the_gallows/
1,100%,North by Northwest (1959),64,1959,/m/north-by-northwest/
2,100%,The 400 Blows (Les Quatre cents coups) (1959),54,1959,/m/400_blows/
3,100%,Anatomy of a Murder (1959),42,1959,/m/anatomy-of-a-murder/
4,96%,Some Like It Hot (1959),50,1959,/m/some_like_it_hot/
5,88%,Ben-Hur (1959),43,1959,/m/benhur/
1,96%,Psycho (1960),84,1960,/m/psycho/
2,96%,La Dolce Vita (1960),57,1960,/m/dolce_vita/
3,96%,Spartacus (1960),53,1960,/m/1019544-spartacus/
4,96%,Peeping Tom (1960),47,1960,/m/peeping-tom/
5,93%,The Apartment (1960),59,1960,/m/1001115-apartment/
1,97%,Breathless (1961),61,1961,/m/breathless/
2,98%,101 Dalmatians (1961),45,1961,/m/101_dalmatians/
3,98%,The Hustler (1961),41,1961,/m/hustler/
4,94%,West Side Story (1961),64,1961,/m/west_side_story/
5,96%,The Innocents (1961),46,1961,/m/1099622-innocents/
6,95%,L'ann�e dernière à Marienbad (Last Year at Marienbad) (1961),42,1961,/m/lannee_derniere_a_marienbad_1961/
7,88%,Breakfast at Tiffany's (1961),49,1961,/m/breakfast_at_tiffanys/
1,97%,Lawrence of Arabia (1962),74,1962,/m/lawrence_of_arabia/
2,98%,The Manchurian Candidate (1962),53,1962,/m/1013227-manchurian_candidate/
3,98%,Eyes Without a Face (1962),52,1962,/m/eyes_without_a_face_1962/
4,96%,Dr. No (1962),51,1962,/m/dr_no/
5,95%,Lolita (1962),41,1962,/m/1012611-lolita/
6,93%,The Man Who Shot Liberty Valance (1962),42,1962,/m/man_who_shot_liberty_valance/
7,91%,To Kill A Mockingbird (1962),56,1962,/m/to_kill_a_mockingbird/
8,91%,What Ever Happened to Baby Jane? (1962),46,1962,/m/what_ever_happened_to_baby_jane/
1,100%,The Leopard (1963),45,1963,/m/the_leopard_1963/
2,98%,8 1/2 (1963),46,1963,/m/8-12/
3,96%,The Birds (1963),51,1963,/m/1002448-birds/
4,93%,The Great Escape (1963),45,1963,/m/great_escape/
5,93%,Jason and the Argonauts (1963),41,1963,/m/1010939-jason_and_the_argonauts/
1,98%,A Hard Day's Night (1964),102,1964,/m/beatles_a_hard_days_night/
2,99%,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),73,1964,/m/dr_strangelove/
3,100%,Mary Poppins (1964),46,1964,/m/mary_poppins/
4,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),43,1964,/m/fistful_of_dollars/
5,96%,Goldfinger (1964),57,1964,/m/goldfinger/
6,96%,From Russia With Love (1964),52,1964,/m/from_russia_with_love/
7,96%,Mafioso (1964),51,1964,/m/mafioso_1964/
8,96%,Band of Outsiders (Bande � part) (1964),47,1964,/m/band_of_outsiders/
9,96%,My Fair Lady (1964),46,1964,/m/my_fair_lady/
10,94%,Contempt (1964),51,1964,/m/contempt/
1,100%,Repulsion (1965),60,1965,/m/repulsion/
2,90%,Alphaville (1965),41,1965,/m/alphaville/
3,86%,The Sound of Music (1965),56,1965,/m/sound_of_music/
4,86%,Thunderball (1965),43,1965,/m/thunderball/
5,81%,Doctor Zhivago (1965),43,1965,/m/1006037-doctor_zhivago/
1,97%,"The Good, the Bad and the Ugly (1966)",68,1966,/m/the_good_the_bad_and_the_ugly/
2,88%,Persona (1966),43,1966,/m/persona/
3,86%,Blow-Up (1966),42,1966,/m/blow_up_1966/
1,99%,La Battaglia di Algeri (The Battle of Algiers) (1967),76,1967,/m/battle_of_algiers/
2,100%,Cool Hand Luke (1967),47,1967,/m/cool_hand_luke/
3,89%,The Graduate (1967),66,1967,/m/graduate/
4,90%,Bonnie and Clyde (1967),51,1967,/m/bonnie_and_clyde/
5,72%,You Only Live Twice (1967),43,1967,/m/you_only_live_twice/
