actor,gross,budget,num
Ellen Burstyn,98877999,1.05e+08,8
Jared Leto,82330201,64500000,4
Jennifer Connelly,568831140,628500000,12
Guy Pearce,615151320,4.21e+08,8
Carrie-Anne Moss,535045857,3.56e+08,5
Joe Pantoliano,25530884,9e+06,1
Dennis Quaid,919281541,829100000,19
Jim Caviezel,269626367,4.11e+08,10
Shawn Doyle,44983704,3.1e+07,1
Christian Bale,2229856794,1.439e+09,20
Justin Theroux,22266997,2.2e+07,2
Josh Lucas,153667500,2.57e+08,7
Billy Crudup,100809187,159500000,7
Patrick Fugit,33140747,6.4e+07,4
Kate Hudson,481587759,4.6e+08,11
Denzel Washington,1642017293,1313500000,22
Will Patton,141353614,6.3e+07,5
Wood Harris,115648585,3e+07,1
Nicolas Cage,1468580576,1.724e+09,30
Téa Leoni,315479536,2.91e+08,8
Don Cheadle,376126571,1.8e+08,8
Leonardo DiCaprio,1621266201,1.287e+09,15
Daniel York,39778599,5e+07,1
Patcharawan Patarakijjanon,39778599,5e+07,1
Devon Sawa,53302314,2.3e+07,1
Ali Larter,245606189,1.83e+08,5
Kerr Smith,53302314,2.3e+07,1
Jennifer Lopez,515674734,4.37e+08,11
Vince Vaughn,963461681,581350000,13
Vincent D'Onofrio,76698919,1.47e+08,6
Geoffrey Rush,424989865,231500000,7
Kate Winslet,628657512,725500000,15
Joaquin Phoenix,799524053,670500000,18
Kevin Spacey,440014736,473600000,10
Haley Joel Osment,172344060,2.08e+08,5
Helen Hunt,100200194,76500000,6
Mel Gibson,579742392,4.32e+08,9
Heath Ledger,864631326,5.8e+08,9
Joely Richardson,113461517,118500000,2
Patrick Stewart,937775972,6.89e+08,6
Hugh Jackman,2355302228,2137250000,24
Ian McKellen,1833495555,1.484e+09,8
Cuba Gooding Jr.,334205248,3.11e+08,8
Robert De Niro,1606779006,1.327e+09,26
Charlize Theron,763844350,842500000,14
Giovanni Ribisi,302052381,374795000,11
Vin Diesel,1895909205,1.207e+09,15
Nia Long,302949062,1.18e+08,5
Matthew McConaughey,918167715,7.32e+08,21
Bill Paxton,231588356,270050000,5
Harvey Keitel,116692492,155400000,3
Woody Allen,27770796,6.2e+07,3
Tracey Ullman,18410898,3.3e+07,2
Hugh Grant,297102301,3.75e+08,7
Sean Connery,118231223,1.21e+08,2
Rob Brown,96061726,1.13e+08,3
F. Murray Abraham,110842396,6.8e+07,2
Ed Harris,535067810,4.38e+08,13
Marcia Gay Harden,115617325,118200000,7
Robert Knott,8596914,6e+06,1
James Levine,60507228,8e+07,1
Steve Martin,986418380,7.62e+08,13
Itzhak Perlman,60507228,8e+07,1
Julia Sawalha,106793915,4.5e+07,1
Phil Daniels,106793915,4.5e+07,1
Radha Mitchell,117908633,1.63e+08,4
Cole Hauser,241051534,2.24e+08,7
Anna Faris,1102236231,637500000,15
Jon Abrahams,157009846,20700000,2
Marlon Wayans,588468832,4.04e+08,8
Amanda Schull,17174870,1.8e+07,1
Ethan Stiefel,17174870,1.8e+07,1
Sascha Radetsky,17174870,1.8e+07,1
Javier Bardem,561279760,370500000,6
Johnny Depp,3206060753,2.915e+09,28
Olatz López Garmendia,0,0,0
Jim Carrey,1279179631,9.59e+08,14
Renée Zellweger,828847280,6.56e+08,12
Anthony Anderson,183511256,1.34e+08,4
Laura Linney,229199537,156900000,9
Matthew Broderick,325448521,407400000,7
Mark Ruffalo,1075432496,877100000,24
David Spade,196770548,167700000,4
John Goodman,1122454596,7.31e+08,14
Eartha Kitt,89296573,1e+08,1
Bruce Willis,1146516993,1153145000,20
Samuel L. Jackson,1458965830,1246665000,20
Robin Wright,188322594,155700000,6
Kevin Bacon,210118655,2.4e+08,6
Elisabeth Shue,143659672,163900000,6
Josh Brolin,609335914,686200000,15
Tom Cruise,1812799061,1.669e+09,15
Dougray Scott,257865338,193495000,4
Thandie Newton,681315556,4.78e+08,8
Angelina Jolie Pitt,1749236450,1.742e+09,21
Kirsten Dunst,1254087467,811500000,11
Josh Hartnett,599718210,592400000,13
James Woods,5165163,8500000,2
Natalie Portman,1609500763,928100000,17
James Frain,33771174,1.5e+07,1
Ashley Judd,249726152,2.37e+08,10
Michael Douglas,447232349,4.91e+08,10
Tobey Maguire,1378769171,8.76e+08,9
Frances McDormand,174763147,290500000,8
Glenn Close,122377082,9.5e+07,4
Cameron Diaz,2328091656,1.468e+09,20
Calista Flockhart,0,0,0
Will Smith,1783033146,1497100000,14
Matt Damon,2202051406,1782700000,30
Clint Eastwood,365162101,1.78e+08,4
Tommy Lee Jones,834910332,8.01e+08,15
Donald Sutherland,347992315,2.88e+08,7
Sandra Bullock,2059924119,8.3e+08,21
Michael Caine,768617341,5.79e+08,7
Benjamin Bratt,1030419807,5.19e+08,10
Arnold Schwarzenegger,372953332,695500000,9
Michael Rapaport,34543701,8.2e+07,1
Tony Goldwyn,67265336,9.7e+07,2
Danny Aiello,0,0,0
Edoardo Ballerini,0,0,0
John Rothman,0,0,0
Spencer Breslin,309361133,2.29e+08,3
Emily Mortimer,288054159,2.59e+08,7
Winona Ryder,281603549,246950000,8
Clea DuVall,139060195,34500000,3
Drew Barrymore,689928614,712001100,15
Lucy Liu,272102950,3.37e+08,6
Harrison Ford,1021612912,1.088e+09,14
Michelle Pfeiffer,377946903,3.14e+08,7
Katharine Towne,155370362,1e+08,1
Jeanne Tripplehorn,945041,4e+06,1
Stellan Skarsgård,60711335,8.4e+07,3
Salma Hayek,631164366,5.49e+08,11
Piper Perabo,196172178,1.71e+08,4
Adam Garcia,119869819,1.08e+08,3
Breckin Meyer,217308861,131700000,4
Seann William Scott,672308993,477600000,13
Amy Smart,184993741,137600000,9
Morgan Freeman,1667257937,1405500000,27
Gene Hackman,220375835,2.57e+08,7
Thomas Jane,133906625,2.54e+08,7
Michael Jordan,0,0,0
Phil Jackson,0,0,0
Doug Collins,0,0,0
Melanie Griffith,1276984,1e+07,1
Stephen Dorff,23158824,86500000,6
Alicia Witt,221754344,1.9e+08,5
Michael Polish,985341,5e+05,1
Mark Polish,985341,5e+05,1
Michele Hicks,985341,5e+05,1
Meg Ryan,153672482,199500000,5
Russell Crowe,980530933,1.155e+09,15
David Morse,186956157,2.22e+08,8
John Malkovich,257793395,2.44e+08,6
Willem Dafoe,573213831,557700000,9
Udo Kier,8374413,1.1e+07,2
Juliette Binoche,132340895,1.05e+08,5
Judi Dench,435548877,4.67e+08,8
Alfred Molina,576387157,473700000,8
Martin Lawrence,657737845,535100000,11
Paul Giamatti,466737108,399500000,10
Cate Blanchett,1256016943,1166600000,18
Katie Holmes,58167745,106100000,9
Keanu Reeves,1098370141,1224200000,21
Bill Haugland,327418,8500000,1
Nelson Landrieu,327418,8500000,1
Anthony Hopkins,796704910,1.126e+09,16
Jessica Lange,80998520,6e+07,3
Osheen Jones,0,0,0
Chris Rock,981620580,655200000,11
Danny DeVito,246092062,1.5e+08,3
Peter Facinelli,3318,3900000,1
Diane Keaton,293463620,3.79e+08,10
Lisa Kudrow,154956535,2.5e+08,7
Muhammad Ali,0,0,0
Planet Asia,0,0,0
Catherine McCormack,3913135,2.12e+08,4
Sean Penn,379167097,4.34e+08,13
Sarah Polley,34100714,6.8e+07,3
Will Friedle,0,0,0
Mark Hamill,0,0,0
Kevin Conroy,0,0,0
Simon Baker,0,0,0
Anna Friel,132983218,1.51e+08,4
Nick Stahl,222187050,203400000,3
Marisa Tomei,421923625,276500000,15
Marty Davey,0,0,0
Ben Affleck,1343915365,8.64e+08,19
Gwyneth Paltrow,1329369773,9.1e+08,16
Natasha Henstridge,61537866,1.03e+08,3
Kevin Kline,265231732,264500000,10
Kenneth Branagh,50802661,9.5e+07,1
Rosie Perez,50802661,9.5e+07,1
Brendan Fraser,467769973,715200000,15
Elizabeth Hurley,71740366,1.06e+08,3
Frances O'Connor,116496685,1.48e+08,2
Adam Sandler,2093393936,1.529e+09,22
Patricia Arquette,67396949,8.9e+07,3
Gerard Butler,1277746895,1.096e+09,19
Justine Waddell,67958570,60800000,4
Jonny Lee Miller,66000754,5.6e+07,2
David Arquette,150834598,1.23e+08,6
Neve Campbell,131878138,1.1e+08,4
Courteney Cox,264870001,237150000,6
Arye Gross,0,0,0
Eric Schweig,0,0,0
Tim DeKay,0,0,0
Joan Allen,439752486,2.14e+08,4
Gary Oldman,670599635,7.35e+08,9
Jeff Bridges,1003985367,8.1e+08,11
Emily Watson,214664187,2.42e+08,9
Robert Carlyle,13301169,27700000,3
Joe Breen,13038660,2.5e+07,1
Fred Willard,155452050,6.6e+07,4
Eugene Levy,323563163,1.91e+08,7
Catherine O'Hara,136673246,1.57e+08,4
Viggo Mortensen,135872720,2e+08,4
Dominic West,128616781,1.77e+08,4
Penélope Cruz,559303419,7.1e+08,10
Henry Thomas,15906768,59200000,2
Edward Furlong,0,0,0
Danny Trejo,32299696,7.3e+07,2
Ryan Phillippe,177462925,233500000,6
Benicio Del Toro,249854698,474500000,8
Juliette Lewis,6047856,8500000,1
Timothy Olyphant,436768187,4.01e+08,9
Dean Cain,3489716,2e+06,2
Zach Braff,180837521,180500000,6
Jet Li,450961073,5.44e+08,9
Isaiah Washington,137745281,1.33e+08,3
Murilo Benício,5018450,8e+06,1
Harold Perrineau,5018450,8e+06,1
Huey Lewis,4734235,1.5e+07,1
Pierce Brosnan,420762790,3.57e+08,11
Alejandro Acevedo-Gutiérrez,0,0,0
Dean Bernal,0,0,0
Jim Cummings,113384830,1.15e+08,4
Nikita Hopkins,45542421,3e+07,1
Ken Sansom,68616032,6.5e+07,2
Colin Farrell,606383551,967500000,19
Matthew Davis,61733510,55500000,4
Clifton Collins Jr.,45785631,74500000,6
Janet McTeer,6101868,3600000,2
Michael Davis,6101868,3600000,2
Michael Goodwin,6101868,3600000,2
Brooke Langton,44737059,5e+07,1
Mark Wahlberg,2271044468,1.381e+09,26
Sanaa Lathan,275092715,2e+08,7
Omar Epps,27441122,1.5e+07,1
Glenndon Chatman,27441122,1.5e+07,1
Justin Whalin,15185241,4.5e+07,1
Jeremy Irons,90215404,1.45e+08,2
Zoe McLellan,15185241,4.5e+07,1
Rosanna Arquette,96734,1e+06,1
Emmanuelle Béart,0,0,0
Marco Leonardi,0,0,0
Michael Parks,1821983,3e+06,1
Temuera Morrison,0,0,0
James Marsden,257911722,2.06e+08,8
Lena Headey,399895860,2.37e+08,5
Norman Reedus,15378127,3.2e+07,2
Michelle Rodriguez,667119977,4.68e+08,10
Santiago Douglas,3047882,2e+06,2
Jaime Tirelli,3047882,2e+06,2
Tilda Swinton,502460708,420200000,10
Goran Visnjic,50873290,5.2e+07,4
Jonathan Tucker,43893272,1.7e+07,4
Brent Fellows,52228,60000,2
Gio Black Peter,52228,60000,2
Ellie Nicholson,52228,60000,2
Jeffrey Donovan,26538874,2.1e+07,2
Stephen Barker Turner,26421314,1.5e+07,1
Erica Leerhsen,26421314,1.5e+07,1
Damon Wayans,86221490,4.7e+07,3
Savion Glover,2185266,1e+07,1
Jada Pinkett Smith,338217478,2.4e+08,4
James Spader,53890766,7.7e+07,3
Julian Sands,399793,4e+06,1
Saffron Burrows,399793,4e+06,1
Stefano Dionisi,399793,4e+06,1
Shane West,8735529,1.5e+07,1
Marla Sokoloff,22012482,2.6e+07,2
Jodi Lyn O'Keefe,8735529,1.5e+07,1
Richard Gere,432160349,3.95e+08,15
Farrah Fawcett,13065561,1.2e+07,1
John Travolta,510205094,6.65e+08,10
Forest Whitaker,649952199,4.36e+08,13
Barry Pepper,78859030,1.84e+08,7
William H. Macy,204641972,159700000,8
John Ritter,0,0,0
Scott Bakula,0,0,0
Alan Ball,0,0,0
Annette Bening,99393475,131150000,10
Eric Mabius,50740078,4.5e+07,1
Fred Ward,19693891,3.4e+07,1
Eddie Murphy,2121672163,1.387e+09,16
Janet Jackson,238565262,1e+08,3
Larry Miller,140600326,7.7e+07,2
Robin Dunne,0,0,0
Sarah Thompson,0,0,0
Keri Lynn Pratt,0,0,0
Garry Shandling,161310942,1.3e+08,2
Tim Roth,430210499,3.75e+08,7
Richard Herd,0,0,0
Jonathan Lipnicki,64988411,5.2e+07,2
Rollo Weeks,13555988,2.2e+07,1
Richard E. Grant,13555988,2.2e+07,1
Philip Seymour Hoffman,336056979,325500000,15
Rebecca Pidgeon,47239,3.5e+07,1
Ben Chaplin,53666033,95800000,5
Sarah Wynter,16779636,2.8e+07,1
Jason Biggs,368863486,2.03e+08,6
Mena Suvari,15531178,2.5e+07,2
Zak Orth,15464026,2e+07,1
Rupert Everett,54864048,5e+07,2
Freddie Prinze Jr.,308739427,2.77e+08,7
Julia Stiles,245524555,1.27e+08,6
Selma Blair,187300094,1.97e+08,7
Demi Moore,14153515,2.4e+07,3
Eloise Eonnet,0,0,0
Hadrian Dagannaud-Brouard,0,0,0
Sylvester Stallone,601275958,7.23e+08,13
