actor,gross,budget
Ellen Burstyn,98877999,1.09e+08
Jared Leto,82330201,78500000
Jennifer Connelly,568917005,628500000
Guy Pearce,615285855,4.29e+08
Carrie-Anne Moss,535045857,4.03e+08
Joe Pantoliano,25561064,1.5e+07
Dennis Quaid,950542249,856400000
Jim Caviezel,276763600,4.21e+08
Shawn Doyle,44983704,3.1e+07
Christian Bale,2233518700,1.439e+09
Justin Theroux,22266997,2.2e+07
Josh Lucas,196558809,2.69e+08
Billy Crudup,103900108,159500000
Patrick Fugit,33219100,65500000
Kate Hudson,499756881,4.6e+08
Denzel Washington,1642017293,1313500000
Will Patton,142459480,6.3e+07
Wood Harris,115648585,3e+07
Nicolas Cage,1505453774,1783220000
Téa Leoni,315479536,2.91e+08
Don Cheadle,381748810,1.8e+08
Leonardo DiCaprio,1621969665,1.287e+09
Daniel York,39778599,5e+07
Patcharawan Patarakijjanon,39778599,5e+07
Devon Sawa,53302314,2.3e+07
Ali Larter,245606189,1.83e+08
Kerr Smith,53302314,2.3e+07
Jennifer Lopez,523268672,4.58e+08
Vince Vaughn,1035462548,581350000
Vincent D'Onofrio,77387429,1.67e+08
Geoffrey Rush,424989865,231500000
Kate Winslet,680922728,725500000
Joaquin Phoenix,799932772,670500000
Kevin Spacey,443545859,473600000
Haley Joel Osment,172344060,2.08e+08
Helen Hunt,100423338,76500000
Mel Gibson,579742392,4.52e+08
Heath Ledger,875926158,5.8e+08
Joely Richardson,134922107,118500000
Patrick Stewart,953219283,6.89e+08
Hugh Jackman,2355302228,2137250000
Ian McKellen,1833495555,1.484e+09
Cuba Gooding Jr.,334946502,3.41e+08
Robert De Niro,1607354145,1.357e+09
Charlize Theron,771221486,882500000
Giovanni Ribisi,302053295,392795000
Vin Diesel,1907541625,1.207e+09
Nia Long,352581020,1.18e+08
Matthew McConaughey,970403846,7.32e+08
Bill Paxton,231725179,270050000
Harvey Keitel,118451272,162400000
Woody Allen,48219121,6.2e+07
Tracey Ullman,18410898,3.3e+07
Hugh Grant,347664856,3.75e+08
Sean Connery,118231223,1.21e+08
Rob Brown,96061726,1.13e+08
F. Murray Abraham,110842396,6.8e+07
Ed Harris,560695836,5e+08
Marcia Gay Harden,115926665,136200000
Robert Knott,8596914,6e+06
James Levine,60507228,8e+07
