director,mean_gross,mean_budget,number_of_movies
A.J. Edwards,NA,NA,1
"Aaron Blaise,Robert Walker",85329248,1.28e+08,2
Aaron Harvey,1887,7e+06,1
Aaron J. Wiederspahn,23054,1e+06,1
"Aaron Katz,Martha Stephens",727430,NaN,1
Aaron M. Ross,NaN,5000,1
"Aaron Rose,Joshua Leonard",56386,NaN,1
Aaron Rottinghaus,NaN,NaN,1
Aaron Russo,61200,1e+06,1
Aaron Schneider,9176553,7500000,1
Aaron Schoenke,NaN,5000,1
"Aaron Seltzer,Jason Friedberg",48546578,2e+07,2
Aaron Woodley,15979,4e+06,1
Aaron Woolf,81368,NaN,2
Abby Epstein,69348,NaN,2
Abe Sylvia,53630,4e+06,2
Abel Ferrara,15738,NaN,2
Adam Baran,NaN,20000,1
Adam Brooks,16014614,NaN,2
Adam Collis,3926,NaN,1
"Adam Del Deo,James D. Stern",597916.333333333,NaN,3
Adam Gierasch,NaN,7333333.33333333,3
Adam Green,243390,NaN,2
"Adam Green,Joe Lynch",NaN,NaN,1
"Adam Green,Joel David Moore",NaN,1500000,1
"Adam Kassen,Mark Kassen",67071,NaN,1
Adam Leon,97768,NaN,1
Adam Marcus,NaN,8e+06,1
Adam McKay,90842873.8,62800000,5
Adam Rapp,101228,3500000,2
"Adam Ravetch,Sarah Robertson",833308,NaN,1
Adam Rifkin,16136,NaN,3
Adam Rodgers,49953,2500000,1
Adam Salky,NaN,NaN,1
Adam Shankman,89503615.8333333,56500000,6
Adam Sherman,6106,1e+07,2
Adam Wingard,12423712,2333333.33333333,4
Adrian Benjamin Burke,NaN,3000,1
Adrian Grunberg,NaN,2e+07,1
Adrian Lyne,52752475,5e+07,1
Adrian Picardi,NaN,NaN,1
Adrienne Shelly,19067631,2e+06,1
Agnieszka Holland,352786,1.1e+07,1
Agnieszka Wojtowicz-Vosloo,108229,4500000,1
Akiva Goldsman,22451,6e+07,1
Akiva Schaffer,24135647,6.8e+07,2
Alain Berliner,769009,NaN,1
Alain Hain,NaN,NaN,1
Alain Jakubowicz,NaN,5e+05,1
Alan Ball,371446,NaN,2
Alan Brown,NaN,NaN,2
"Alan Cumming,Jennifer Jason Leigh",4013506,NaN,1
Alan Hicks,162530,NaN,1
"Alan Lau,Kenn Navarro",NaN,50000,1
Alan Pao,NaN,1.5e+07,1
Alan Parker,16316200,37500000,2
Alan Peterson,NaN,5e+05,1
"Alan Polsky,Gabe Polsky",NaN,NaN,1
Alan Poul,37481242,3.5e+07,1
Alan Rudolph,3707201,NaN,1
Alan Taylor,206360018,1.7e+08,1
Alan White,NaN,NaN,2
"Alastair Fothergill,Keith Scholey",16592356,NaN,2
"Alastair Fothergill,Mark Linfield",28965459,NaN,1
Albert Brooks,887416,1e+07,1
"Albert Hughes,Allen Hughes",52673107.6666667,5e+07,3
Albert Maysles,1310229,NaN,2
Albert Pyun,NaN,7e+06,1
Alec Gillis,NaN,NaN,1
Alejandro Agresti,52320979,4e+07,1
Alejandro Amenábar,96471845,1.7e+07,1
Alejandro G. Iñárritu,31796485.25,2.2e+07,4
Alejandro Monteverde,8108247,3300000,2
Alex Budovsky,NaN,NaN,1
Alex Gibney,523534.5,1e+06,5
"Alex Gregory,Peter Huyck",154604,NaN,1
Alex Holdridge,172177,25000,1
Alex Jones,NaN,1e+05,1
Alex Kendrick,28167646,1150000,4
