name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp,rating,general_rating_user,contentRatingLevel,year,profit_ratio
Requiem for a Dream ,"8.4 based on 572,140 user ratings",2000-12-15,Darren Aronofsky,"Ellen Burstyn,Jared Leto,Jennifer Connelly",68,1914,233,270,"drug-addiction,addiction,heroin,diet-pill,fast-motion-scene",Drama,"Rated R for intense depiction of drug addiction, graphic sexuality, strong language and some violence",USA,English,4500000,64770(USA),3609278,102,Color,1.37:1,8.4,572140,R,2000,0.802061777777778
Memento ,"8.5 based on 843,586 user ratings",2001-05-25,Christopher Nolan,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",80,2066,274,497,"memory,short-term-memory,murder,telephone,flashback","Mystery,Thriller","Rated R for violence, language and some drug content",USA,English,9e+06,£90642(UK),25530884,113,Black and White,2.35:1,8.5,843586,R,2001,2.83676488888889
Cast Away ,"7.7 based on 393,525 user ratings",2000-12-22,NA,NA,73,1051,221,1,"survival,talking-to-inanimate-object,island,love,christmas","Adventure,Drama,Romance",Rated PG-13 for intense action sequences and some disturbing images,USA,"English,Russian",9e+07,39852075(USA),233630478,143,Color,1.85:1,7.7,393525,PG-13,2000,2.5958942
Frequency ,"7.3 based on 81,725 user ratings",2000-04-28,Gregory Hoblit,"Dennis Quaid,Jim Caviezel,Shawn Doyle",67,509,168,1,"altering-history,ham-radio,paranormal-phenomena,amateur-radio,alternate-history","Crime,Drama,Mystery,Sci-Fi,Thriller",Rated PG-13 for intense violence and disturbing images,USA,English,3.1e+07,9025584(USA),44983704,118,Color,2.35:1,7.3,81725,PG-13,2000,1.45108722580645
Erin Brockovich ,"7.3 based on 134,953 user ratings",2000-03-17,NA,NA,73,496,169,1,"environmental-issue,contamination,working-single-mother,corporate-crime,female-protagonist","Biography,Drama",Rated R for language,USA,English,5.2e+07,28138465(USA),125548685,131,Color,1.85:1,7.3,134953,R,2000,2.41439778846154
American Psycho ,"7.6 based on 356,352 user ratings",2000-04-14,Mary Harron,"Christian Bale,Justin Theroux,Josh Lucas",64,1061,288,382,"narcissism,materialism,business-card,male-rear-nudity,1980s","Crime,Drama","Rated R for strong violence, sexuality, drug use and language",USA,"English,Spanish,Cantonese",7e+06,4961015(USA),15047419,102,Color,2.35:1,7.6,356352,R,2000,2.14963128571429
Almost Famous ,"7.9 based on 206,972 user ratings",2000-09-22,Cameron Crowe,"Billy Crudup,Patrick Fugit,Kate Hudson",90,823,149,690,"smoking-marijuana,magazine,band,tour,rolling-stone-magazine","Adventure,Comedy,Drama,Music","Rated R for language, drug content and brief nudity",USA,"English,French",6e+07,2314646(USA),32522352,122,Color,1.85:1,7.9,206972,R,2000,0.5420392
Remember the Titans ,"7.8 based on 160,513 user ratings",2000-09-29,Boaz Yakin,"Denzel Washington,Will Patton,Wood Harris",48,402,157,527,"high-school,head-coach,american-football,based-on-true-story,school","Biography,Drama,Sport",Rated PG for thematic elements and some language,USA,English,3e+07,20905831(USA),115648585,113,Color,2.35:1,7.8,160513,PG,2000,3.85495283333333
Gladiator ,"8.5 based on 980,284 user ratings",2000-05-05,NA,NA,64,2368,265,271,"roman-empire,gladiator,combat,battlefield,blood","Action,Drama,Romance","Rated R for intense, graphic combat","USA,UK",English,1.03e+08,34819017(USA),187670866,155,Color,2.35:1,8.5,980284,R,2000,1.82204724271845
The Family Man ,"6.7 based on 85,738 user ratings",2000-12-22,Brett Ratner,"Nicolas Cage,Téa Leoni,Don Cheadle",42,322,121,4,"christmas,salesman,parallel-universe,bowling,unfaithfulness","Comedy,Drama,Fantasy,Romance",Rated PG-13 for sensuality and some language,USA,"English,Italian",6e+07,£521322(UK),75764085,125,Color,2.35:1,6.7,85738,PG-13,2000,1.26273475
The Beach ,"6.6 based on 175,773 user ratings",2000-02-11,Danny Boyle,"Leonardo DiCaprio,Daniel York,Patcharawan Patarakijjanon",43,548,117,1,"thailand,map,paradise,travel,love","Adventure,Drama,Thriller","Rated R for violence, some strong sexuality, language and drug content","USA,UK","English,French,Swedish,Thai,Serbian",5e+07,£2418321(UK),39778599,119,Color,2.35:1,6.6,175773,R,2000,0.79557198
For the Birds ,"8.1 based on 20,408 user ratings",2001-11-02,NA,NA,NA,48,11,NA,"bird,telephone-wire,poetic-justice,hiding,mockery","Animation,Short,Comedy,Family",NA,USA,NA,NA,NA,NA,3,Color,NA,8.1,20408,NA,2001,NA
Final Destination ,"6.7 based on 180,740 user ratings",2000-03-17,James Wong,"Devon Sawa,Ali Larter,Kerr Smith",36,674,211,1,"death,premonition,teenager,explosion,dead-teenager","Horror,Thriller","Rated R for violence and terror, and for language","USA,Canada","English,French",2.3e+07,10015822(USA),53302314,98,Color,1.85:1,6.7,180740,R,2000,2.31749191304348
The Cell ,"6.3 based on 79,784 user ratings",2000-08-18,Tarsem Singh,"Jennifer Lopez,Vince Vaughn,Vincent D'Onofrio",40,676,225,2,"serial-killer,race-against-time,coma,fbi,alternate-reality","Horror,Sci-Fi,Thriller","Rated R for bizarre violence and sexual images, nudity and language","USA,Germany",English,3.3e+07,17515050(USA),61280963,107,Color,2.35:1,6.3,79784,R,2000,1.85699887878788
Quills ,"7.4 based on 44,753 user ratings",2000-12-25,Philip Kaufman,"Geoffrey Rush,Kate Winslet,Joaquin Phoenix",70,314,132,4,"male-pubic-hair,lust,penis,pubic-hair,asylum","Biography,Drama","Rated R for strong sexual content including dialogue, violence and language","UK,Germany,USA","English,Latin",13500000,249383(USA),7060876,124,Color,1.85:1,7.4,44753,R,2000,0.523027851851852
Pay It Forward ,"7.2 based on 95,723 user ratings",2000-10-20,Mimi Leder,"Kevin Spacey,Haley Joel Osment,Helen Hunt",40,661,157,2,"teacher,boy,good-deed,alcoholism,protective-male",Drama,"Rated PG-13 for mature thematic elements including substance abuse/recovery, some sexual situations, language and brief violence",USA,English,4e+07,9631359(USA),33508922,123,Color,1.85:1,7.2,95723,PG-13,2000,0.83772305
Mission to Mars ,"5.6 based on 60,395 user ratings",2000-03-10,NA,NA,34,949,181,3,"mars,astronaut,outer-space,mars-the-planet,zero-gravity","Adventure,Sci-Fi,Thriller",Rated PG for sci-fi violence and mild language,USA,English,9e+07,22855247(USA),60874615,114,Color,2.35:1,5.6,60395,PG,2000,0.676384611111111
The Patriot ,"7.1 based on 207,296 user ratings",2000-06-28,Roland Emmerich,"Mel Gibson,Heath Ledger,Joely Richardson",63,1144,192,807,"british,american-revolution,hero,standoff,french","Action,Drama,History,War",Rated R for strong war violence,"USA,Germany",English,1.1e+08,22413710(USA),113330342,165,Color,2.35:1,7.1,207296,R,2000,1.03027583636364
X-Men ,"7.4 based on 451,826 user ratings",2000-07-14,Bryan Singer,"Patrick Stewart,Hugh Jackman,Ian McKellen",64,1401,290,376,"mutant,professor,superhero,superhero-team,first-part","Action,Adventure,Sci-Fi",Rated PG-13 for sci-fi action violence,USA,English,7.5e+07,54471475(USA),157299717,104,Color,2.35:1,7.4,451826,PG-13,2000,2.09732956
Men of Honor ,"7.2 based on 89,284 user ratings",2000-11-10,George Tillman Jr.,"Cuba Gooding Jr.,Robert De Niro,Charlize Theron",56,224,98,2,"navy,african-american,racism,amputee,racial-discrimination","Biography,Drama",Rated R for language,USA,English,3.2e+07,13339465(USA),48814909,129,Color,2.35:1,7.2,89284,R,2000,1.52546590625
Boiler Room ,"7.0 based on 41,263 user ratings",2000-02-18,Ben Younger,"Giovanni Ribisi,Vin Diesel,Nia Long",63,246,132,3,"stock,casino,judge,stock-broker,career","Crime,Drama,Thriller",Rated R for strong language and some drug content,USA,"English,Russian",8e+06,6722884(USA),16938179,120,Color,1.85:1,7,41263,R,2000,2.117272375
