name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Criminal Activities (2015)            ,"5.8 based on 5,170 user ratings",2015-11-20,Jackie Earle Haley,"Michael Pitt,Dan Stevens,Christopher Abbott",51,37 user,46 critic,2,"in-over-one%27s-head,falling-to-death,surveillance,murder,african-american-gangster","Crime,Drama,Thriller",NA,USA,English,7000000,NA,NA,94,Color,2.35:1
Sinister 2 (2015)            ,"5.3 based on 24,895 user ratings",2015-08-21,Ciarán Foy,"James Ransone,Shannyn Sossamon,Robert Daniel Sloan",32,124 user,189 critic,975,"deputy,rural,farmhouse,private-investigator,nightmare","Horror,Mystery,Thriller","Rated R for strong violence, bloody and disturbing images, and language","USA,UK",English,10000000,10542116(USA),27736779,97,Color,2.35:1
Annie (2014)            ,"5.2 based on 24,624 user ratings",2014-12-19,Will Gluck,"Quvenzhané Wallis,Cameron Diaz,Jamie Foxx",33,213 user,176 critic,1,"penthouse,billionaire,mayoral-candidate,business-tycoon,reference-to-star-trek","Comedy,Drama,Family,Musical",Rated PG for some mild language and rude humor,USA,English,65000000,15861939(USA),85911262,118,Color,2.39:1
Dead Rising: Watchtower (2015)            ,"5.2 based on 5,594 user ratings",2015-03-27,Zach Lipovsky,"Jesse Metcalfe,Meghan Ory,Virginia Madsen",NA,35 user,37 critic,NA,"quarantine,zombie,shot-dead,zombie-infection,news-reporter","Action,Horror,Sci-Fi",NA,USA,English,NA,NA,NA,118,Color,2.35:1
The Ridiculous 6 (2015)            ,"4.9 based on 26,786 user ratings",2015-12-11,Frank Coraci,"Adam Sandler,Terry Crews,Jorge Garcia",18,142 user,51 critic,558,"baseball,bank-robbery,white-raised-as-indian,apache,half-brothers","Comedy,Western",NA,USA,English,NA,NA,NA,119,Color,2.35:1
Before We Go (2014)            ,"6.9 based on 24,278 user ratings",2015-07-21,Chris Evans,"Chris Evans,Alice Eve,Emma Fitzpatrick",31,63 user,48 critic,433,"train,telephone-call,telephone,grand-central-station,chance-meeting","Comedy,Drama,Romance",Rated PG-13 for brief strong language and some suggestive content.,USA,English,NA,3225(USA),37047,95,Color,NA
Spectre (2015)            ,"6.8 based on 274,243 user ratings",2015-11-06,Sam Mendes,"Daniel Craig,Christoph Waltz,Léa Seydoux",60,991 user,601 critic,165,"spy,espionage,sequel,bomb,terrorist","Action,Adventure,Thriller","Rated PG-13 for intense sequences of action and violence, some disturbing images, sensuality and language","UK,USA","English,Spanish,Italian,German,French",245000000,70403148(USA),200074175,148,Color,2.35:1
Return to Sender (2015)            ,"5.0 based on 7,191 user ratings",2015-08-14,Fouad Mikati,"Rosamund Pike,Shiloh Fernandez,Nick Nolte",23,49 user,45 critic,NA,"rape,rapist,prison,beating,rape-and-revenge","Drama,Thriller",NA,USA,English,NA,NA,NA,95,Color,2.35:1
Ashby (2015)            ,"6.4 based on 8,685 user ratings",2015-09-25,Tony McNamara,"Mickey Rourke,Nat Wolff,Emma Roberts",46,33 user,23 critic,1,teen-angst,"Comedy,Drama,Romance","Rated R for language, some sexual material and violence",USA,English,NA,4631(USA),4631,100,Color,2.35:1
Contracted: Phase II (2015)            ,"5.1 based on 2,582 user ratings",2015-09-04,Josh Forbes,"Matt Mercer,Marianna Palka,Morgan Peter Brown",35,17 user,43 critic,NA,"virus,necrophilia,decay,disease,infection","Drama,Horror,Thriller",NA,USA,English,NA,NA,NA,78,Color,2.35:1
The 87th Annual Academy Awards (2015)            ,"6.6 based on 3,156 user ratings",2015-02-22,NA,NA,NA,9 user,10 critic,NA,"reference-to-the-smurfs,reference-to-superman,reference-to-spiderman,reference-to-batman,awards-show",NA,NA,USA,English,NA,NA,NA,223,Color,16:9HD
Lost in the Sun (2015)            ,"6.0 based on 2,250 user ratings",2015-11-06,Trey Nelson,"Josh Duhamel,Josh Wiggins,Lynn Collins",34,11 user,7 critic,4,"robbery,cigarette-smoking,man-wearing-briefs,bare-chested-male,motel","Action,Drama,Thriller",NA,USA,English,NA,NA,NA,95,Color,NA
