name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp,rating,contentRatingLevel,year
Requiem for a Dream ,"8.4 based on 572,140 user ratings",2000-12-15,Darren Aronofsky,"Ellen Burstyn,Jared Leto,Jennifer Connelly",68,NA,NA,270,"drug-addiction,addiction,heroin,diet-pill,fast-motion-scene",Drama,"Rated R for intense depiction of drug addiction, graphic sexuality, strong language and some violence",USA,English,4500000,64770(USA),3609278,102,Color,1.37:1,8.4,R,2000
Memento ,"8.5 based on 843,586 user ratings",2001-05-25,Christopher Nolan,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",80,NA,NA,497,"memory,short-term-memory,murder,telephone,flashback","Mystery,Thriller","Rated R for violence, language and some drug content",USA,English,9000000,£90642(UK),25530884,113,Black and White,2.35:1,8.5,R,2001
Cast Away ,"7.7 based on 393,525 user ratings",2000-12-22,NA,NA,73,NA,NA,1,"survival,talking-to-inanimate-object,island,love,christmas","Adventure,Drama,Romance",Rated PG-13 for intense action sequences and some disturbing images,USA,"English,Russian",90000000,39852075(USA),233630478,143,Color,1.85:1,7.7,PG-13,2000
Frequency ,"7.3 based on 81,725 user ratings",2000-04-28,Gregory Hoblit,"Dennis Quaid,Jim Caviezel,Shawn Doyle",67,NA,NA,1,"altering-history,ham-radio,paranormal-phenomena,amateur-radio,alternate-history","Crime,Drama,Mystery,Sci-Fi,Thriller",Rated PG-13 for intense violence and disturbing images,USA,English,31000000,9025584(USA),44983704,118,Color,2.35:1,7.3,PG-13,2000
Erin Brockovich ,"7.3 based on 134,953 user ratings",2000-03-17,NA,NA,73,NA,NA,1,"environmental-issue,contamination,working-single-mother,corporate-crime,female-protagonist","Biography,Drama",Rated R for language,USA,English,52000000,28138465(USA),125548685,131,Color,1.85:1,7.3,R,2000
American Psycho ,"7.6 based on 356,352 user ratings",2000-04-14,Mary Harron,"Christian Bale,Justin Theroux,Josh Lucas",64,NA,NA,382,"narcissism,materialism,business-card,male-rear-nudity,1980s","Crime,Drama","Rated R for strong violence, sexuality, drug use and language",USA,"English,Spanish,Cantonese",7000000,4961015(USA),15047419,102,Color,2.35:1,7.6,R,2000
Almost Famous ,"7.9 based on 206,972 user ratings",2000-09-22,Cameron Crowe,"Billy Crudup,Patrick Fugit,Kate Hudson",90,NA,NA,690,"smoking-marijuana,magazine,band,tour,rolling-stone-magazine","Adventure,Comedy,Drama,Music","Rated R for language, drug content and brief nudity",USA,"English,French",60000000,2314646(USA),32522352,122,Color,1.85:1,7.9,R,2000
Remember the Titans ,"7.8 based on 160,513 user ratings",2000-09-29,Boaz Yakin,"Denzel Washington,Will Patton,Wood Harris",48,NA,NA,527,"high-school,head-coach,american-football,based-on-true-story,school","Biography,Drama,Sport",Rated PG for thematic elements and some language,USA,English,30000000,20905831(USA),115648585,113,Color,2.35:1,7.8,PG,2000
Gladiator ,"8.5 based on 980,284 user ratings",2000-05-05,NA,NA,64,NA,NA,271,"roman-empire,gladiator,combat,battlefield,blood","Action,Drama,Romance","Rated R for intense, graphic combat","USA,UK",English,103000000,34819017(USA),187670866,155,Color,2.35:1,8.5,R,2000
The Family Man ,"6.7 based on 85,738 user ratings",2000-12-22,Brett Ratner,"Nicolas Cage,Téa Leoni,Don Cheadle",42,NA,NA,4,"christmas,salesman,parallel-universe,bowling,unfaithfulness","Comedy,Drama,Fantasy,Romance",Rated PG-13 for sensuality and some language,USA,"English,Italian",60000000,£521322(UK),75764085,125,Color,2.35:1,6.7,PG-13,2000
