name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
V for Vendetta (2005)            ,"8.2 based on 790,017 user ratings",2006-03-17,James McTeigue,"Hugo Weaving,Natalie Portman,Rupert Graves",62,"2,040 user",525 critic,374,"dystopia,government,terrorist,freedom,revolution","Action,Drama,Thriller",Rated R for strong violence and some language,"USA,UK,Germany",English,54000000,£1188058(UK),70496802,132,Color,2.35:1
The Fall (2006)            ,"7.9 based on 88,604 user ratings",2008-05-30,Tarsem Singh,"Lee Pace,Catinca Untaru,Justine Waddell",64,290 user,185 critic,2,"hospital,girl,governor,indian,bandit","Adventure,Comedy,Drama,Fantasy",Rated R for some violent images,"USA,India","English,Romanian,Latin",NA,79611(USA),2280348,117, Black and White,1.85:1
Little Miss Sunshine (2006)            ,"7.9 based on 355,153 user ratings",2006-08-18,"Jonathan Dayton,Valerie Faris","Steve Carell,Toni Collette,Greg Kinnear",80,889 user,270 critic,1,"graduate-student,gay,uncle-nephew-relationship,sprite,sister-sister-relationship","Comedy,Drama","Rated R for language, some sex and drug content",USA,English,8000000,370782(USA),59889948,101,Color,2.35:1
Blood Diamond (2006)            ,"8.0 based on 399,621 user ratings",2006-12-08,Edward Zwick,"Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly",64,657 user,166 critic,1,"elephant,diamond,rebel,fisherman,sierra-leone","Adventure,Drama,Thriller",Rated R for strong violence and language,"Germany,USA","English,Mende,Afrikaans",100000000,8648324(USA),57366262,143,Color,2.35:1
Babel (2006)            ,"7.5 based on 243,515 user ratings",2006-11-10,Alejandro G. Iñárritu,"Brad Pitt,Cate Blanchett,Gael García Bernal",69,908 user,285 critic,2,"american,mexican-border,destiny,multiple-perspectives,muslim",Drama,"Rated R for violence, some graphic nudity, sexual content, language and some drug use","France,USA,Mexico","English,Arabic,Spanish,Japanese,Berber languages,French,Russian,Japanese Sign Language",25000000,389351(USA),34300771,143,Color,1.85:1
The Prestige (2006)            ,"8.5 based on 841,665 user ratings",2006-10-20,Christopher Nolan,"Christian Bale,Hugh Jackman,Scarlett Johansson",66,"1,100 user",341 critic,249,"rivalry,illusion,magician,secret,obsession","Drama,Mystery,Sci-Fi,Thriller",Rated PG-13 for violence and disturbing images,"USA,UK",English,40000000,14801808(USA),53082743,130,Color,2.35:1
Apocalypto (2006)            ,"7.8 based on 235,679 user ratings",2006-12-08,Mel Gibson,"Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández",68,"1,043 user",282 critic,1,"tribe,jaguar,mayan,village,solar-eclipse","Action,Adventure,Drama,Thriller",Rated R for sequences of graphic violence and disturbing images,USA,Maya,40000000,15005604(USA),50859889,139,Color,1.85:1
Inside Man (2006)            ,"7.6 based on 272,632 user ratings",2006-03-24,Spike Lee,"Denzel Washington,Clive Owen,Jodie Foster",76,645 user,230 critic,436,"bank,robber,negotiation,detective,police","Crime,Drama,Mystery,Thriller",Rated R for language and some violent images,USA,"English,Albanian,Spanish",45000000,£1806854(UK),88504640,129,Color,2.35:1
The Holiday (2006)            ,"6.9 based on 182,424 user ratings",2006-12-08,Nancy Meyers,"Kate Winslet,Cameron Diaz,Jude Law",52,483 user,157 critic,1,"love,house,composer,book,self-esteem","Comedy,Romance",Rated PG-13 for sexual content and some strong language,USA,English,85000000,£2826520(UK),63224849,138,Color,1.85:1
Children of Men (2006)            ,"7.9 based on 361,142 user ratings",2007-01-05,Alfonso Cuarón,"Julianne Moore,Clive Owen,Chiwetel Ejiofor",84,"1,203 user",372 critic,953,"long-take,violence,chaos,england,survival","Drama,Sci-Fi,Thriller","Rated R for strong violence, language, some drug use and brief nudity","USA,UK","English,German,Italian,Romanian,Spanish,Arabic,Georgian,Russian,Serbian",76000000,£1284254(UK),35286428,109,Color,1.85:1
Stranger Than Fiction (2006)            ,"7.6 based on 186,772 user ratings",2006-11-10,Marc Forster,"Will Ferrell,Emma Thompson,Dustin Hoffman",67,529 user,253 critic,2,"author,fate,professor,novelist,writer","Comedy,Drama,Fantasy,Romance","Rated PG-13 for some disturbing images, sexuality, brief language and nudity",USA,English,38000000,13411093(USA),40137776,113,Color,1.85:1
Glory Road (2006)            ,"7.2 based on 34,849 user ratings",2006-01-13,James Gartner,"Josh Lucas,Derek Luke,Austin Nichols",58,145 user,95 critic,NA,"national-championship,texas,ncaa,college-basketball,coach","Biography,Drama,Sport","Rated PG for racial issues including violence and epithets, and momentary language",USA,English,NA,16927589(USA),42643187,118,Color,2.35:1
An Inconvenient Truth (2006)            ,"7.5 based on 67,529 user ratings",2006-06-30,Davis Guggenheim,"Al Gore,Billy West,George Bush",75,504 user,372 critic,NA,"climate,global-warming,earth,truth,science",Documentary,Rated PG for mild thematic elements,USA,English,NA,367311(USA),23808111,96,Color,1.85:1
Eight Below (2006)            ,"7.3 based on 48,731 user ratings",2006-02-17,Frank Marshall,"Paul Walker,Jason Biggs,Bruce Greenwood",64,263 user,118 critic,4,"sled-dog,survival,siberian-husky,antarctica,dog","Adventure,Drama,Family",Rated PG for some peril and brief mild language,USA,English,40000000,24968601(USA),81593527,120,Color,2.35:1
The Painted Veil (2006)            ,"7.5 based on 77,554 user ratings",2007-01-19,John Curran,"Naomi Watts,Edward Norton,Liev Schreiber",69,220 user,143 critic,1,"marriage,love,china,epidemic,cholera","Drama,Romance","Rated PG-13 for some mature sexual situations, partial nudity, disturbing images and brief drug content","China,USA,Canada","Mandarin,English,French",19400000,71814(USA),8047690,125,Color,2.35:1
The Departed (2006)            ,"8.5 based on 871,451 user ratings",2006-10-06,Martin Scorsese,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",86,"2,055 user",352 critic,201,"boston,police,mole,undercover,undercover-cop","Crime,Drama,Thriller","Rated R for strong brutal violence, pervasive language, some strong sexual content and drug material","USA,Hong Kong","English,Cantonese",90000000,£2298313(UK),132373442,151,Color,2.35:1
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)            ,"7.3 based on 296,554 user ratings",2006-11-03,Larry Charles,"Sacha Baron Cohen,Ken Davitian,Luenell",89,"1,198 user",343 critic,1,"california,kazakhstan,travel,tv-reporter,city",Comedy,"Rated R for pervasive strong crude and sexual content including graphic nudity, and language","USA,UK","English,Romanian,Hebrew,Polish,Armenian",18000000,£6242344(UK),128505958,84,Color,1.85:1
Wristcutters: A Love Story (2006)            ,"7.4 based on 46,010 user ratings",2007-11-02,Goran Dukic,"Patrick Fugit,Shea Whigham,Tom Waits",62,88 user,117 critic,4,"suicide,hitchhiker,death,afterlife,camping","Comedy,Drama,Fantasy,Romance",Rated R for language and disturbing content involving suicide,"USA,UK","English,Russian",1000000,42808(USA),104077,88,Color,1.78:1
The Illusionist (2006)            ,"7.6 based on 294,809 user ratings",2006-09-01,Neil Burger,"Edward Norton,Jessica Biel,Paul Giamatti",68,645 user,236 critic,1,"magician,prince,duchess,supernatural-power,illusionist","Drama,Mystery,Romance,Thriller",Rated PG-13 for some sexuality and violence,"USA,Czech Republic",English,16000000,927956(USA),39825798,110,Color,1.85:1
No Time for Nuts (2006)            ,"7.7 based on 2,677 user ratings",2006-09-14,NA,NA,NA,9 user,4 critic,NA,"time-machine,acorn,human-skeleton,time-paradox,dystopian-future","Animation,Short,Adventure,Comedy,Family,Sci-Fi",NA,USA,NA,NA,NA,NA,NA,Color,1.78:1
Click (2006)            ,"6.4 based on 246,067 user ratings",2006-06-23,Frank Coraci,"Adam Sandler,Kate Beckinsale,Christopher Walken",45,685 user,173 critic,2,"remote-control,architect,stopped-time,frozen-time,obese-man","Comedy,Drama,Fantasy,Romance","Rated PG-13 for language, crude and sex-related humor, and some drug references",USA,"English,Portuguese,Japanese",70000000,2974007(Australia),137340146,107,Color,1.85:1
The Da Vinci Code (2006)            ,"6.6 based on 313,692 user ratings",2006-05-19,Ron Howard,"Tom Hanks,Audrey Tautou,Jean Reno",46,"1,966 user",294 critic,1,"based-on-supposedly-true-story,secret,mary-magdalene,holy-grail,opus-dei","Mystery,Thriller","Rated PG-13 for disturbing images, violence, some nudity, thematic material, brief drug references and sexual content","USA,Malta,France,UK","English,French,Latin,Spanish",125000000,£9501444(UK),217536138,149,Color,2.35:1
Find Me Guilty (2006)            ,"7.1 based on 28,023 user ratings",2006-03-17,Sidney Lumet,"Vin Diesel,Peter Dinklage,Ron Silver",65,108 user,93 critic,NA,"mafia,mobster,court,judge,drugs","Biography,Comedy,Crime,Drama",Rated R for strong language and some violence,"Germany,USA",English,13000000,608804(USA),1172769,125,Color,1.85:1
Kiwi! (2006)            ,"8.2 based on 6,615 user ratings",2006-05-05,NA,NA,NA,11 user,3 critic,NA,"kiwi,punctuation-in-title,exclamation-point-in-title,one-word-title,cgi-film","Animation,Short,Action,Adventure,Comedy,Drama",NA,USA,None,NA,NA,NA,NA,Color,1.33:1
Scoop (2006)            ,"6.7 based on 66,722 user ratings",2006-07-28,Woody Allen,"Scarlett Johansson,Hugh Jackman,Jim Dunk",48,248 user,176 critic,3,"poker-the-card-game,musical-instrument,english-garden,fake-drowning,fake-parent","Comedy,Crime,Mystery",Rated PG-13 for some sexual content,"UK,USA",English,4000000,3046924(USA),10515579,96,Color,1.85:1
Little Children (2006)            ,"7.6 based on 92,696 user ratings",2007-02-09,Todd Field,"Kate Winslet,Jennifer Connelly,Patrick Wilson",75,320 user,251 critic,2,"adulterous-wife,sex-offender,bar,suburb,dysfunctional-marriage","Drama,Romance","Rated R for strong sexuality and nudity, language and some disturbing content",USA,English,26000000,97953(USA),5459824,136,Color,2.35:1
The Lake House (2006)            ,"6.8 based on 114,188 user ratings",2006-06-16,Alejandro Agresti,"Keanu Reeves,Sandra Bullock,Christopher Plummer",52,548 user,175 critic,2,"parallel-time,love-across-time,house,lake,letter","Drama,Fantasy,Romance",Rated PG for some language and a disturbing image,USA,English,40000000,13616196(USA),52320979,99,Color,2.35:1
Accepted (2006)            ,"6.5 based on 105,344 user ratings",2006-08-18,Steve Pink,"Justin Long,Jonah Hill,Blake Lively",47,207 user,111 critic,2,"college,student,education,hospital,website",Comedy,"Rated PG-13 for language, sexual material and drug content",USA,English,23000000,10023835(USA),36300285,93,Color,2.35:1
United 93 (2006)            ,"7.6 based on 83,279 user ratings",2006-04-28,Paul Greengrass,"David Alan Basche,Olivia Thirlby,Liza Colón-Zayas",90,827 user,279 critic,2,"passenger,plane,flight,terrorist,september-11-2001","Drama,History,Thriller","Rated R for language, and some intense sequences of terror and violence (appeal planned)","USA,UK,France","English,Arabic,German",15000000,11478360(USA),31471430,111,Color,2.35:1
X-Men: The Last Stand (2006)            ,"6.8 based on 382,546 user ratings",2006-05-26,Brett Ratner,"Patrick Stewart,Hugh Jackman,Halle Berry",58,"1,912 user",334 critic,914,"x-men,walking-through-a-wall,mutant,battle,outrage","Action,Adventure,Fantasy,Sci-Fi,Thriller","Rated PG-13 for intense sequences of action violence, some sexual content and language","Canada,USA,UK",English,210000000,£7091820(UK),234360014,104,Color,2.35:1
Running Scared (2006)            ,"7.4 based on 88,520 user ratings",2006-02-24,Wayne Kramer,"Paul Walker,Cameron Bright,Chazz Palminteri",41,419 user,157 critic,3,"adult-child-friendship,fistfight,corrupt-cop,thug,gangster","Action,Crime,Drama,Thriller","Rated R for pervasive strong brutal violence and language, sexuality and drug content","Germany,USA","English,Russian,Spanish",17000000,£275498(UK),6855137,122,Color,2.35:1
Ice Age: The Meltdown (2006)            ,"6.9 based on 193,743 user ratings",2006-03-31,Carlos Saldanha,"Ray Romano,John Leguizamo,Denis Leary",58,252 user,164 critic,1,"no-opening-credits,mammoth,valley,flood,squirrel","Animation,Action,Adventure,Comedy,Family,Fantasy",Rated PG for some mild language and innuendo,USA,English,80000000,1176639(Chile),195329763,91,Color,1.85:1
