"Average monthly BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CAD","","","","","","","","",""
"2014-12-31","1.15418",,,,,,,,,
"2014-11-30","1.13197",,,,,,,,,
"2014-10-31","1.12189",,,,,,,,,
"2014-09-30","1.10054",,,,,,,,,
"2014-08-31","1.09217",,,,,,,,,
"2014-07-31","1.07287",,,,,,,,,
"2014-06-30","1.08232",,,,,,,,,
"2014-05-31","1.08913",,,,,,,,,
"2014-04-30","1.09959",,,,,,,,,
"2014-03-31","1.11064",,,,,,,,,
"2014-02-28","1.10538",,,,,,,,,
"2014-01-31","1.09130",,,,,,,,,
"2013-12-31","1.06366",,,,,,,,,
"2013-11-30","1.04819",,,,,,,,,
"2013-10-31","1.03566",,,,,,,,,
"2013-09-30","1.03576",,,,,,,,,
"2013-08-31","1.03983",,,,,,,,,
"2013-07-31","1.04068",,,,,,,,,
"2013-06-30","1.03214",,,,,,,,,
"2013-05-31","1.01989",,,,,,,,,
"2013-04-30","1.01853",,,,,,,,,
"2013-03-31","1.02391",,,,,,,,,
"2013-02-28","1.00800",,,,,,,,,
"2013-01-31","0.992003",,,,,,,,,
"2012-12-31","0.990288",,,,,,,,,
"2012-11-30","0.997066",,,,,,,,,
"2012-10-31","0.986580",,,,,,,,,
"2012-09-30","0.978811",,,,,,,,,
"2012-08-31","0.993188",,,,,,,,,
"2012-07-31","1.01370",,,,,,,,,
"2012-06-30","1.02741",,,,,,,,,
"2012-05-31","1.00980",,,,,,,,,
"2012-04-30","0.992885",,,,,,,,,
"2012-03-31","0.993111",,,,,,,,,
"2012-02-29","0.997268",,,,,,,,,
"2012-01-31","1.01446",,,,,,,,,
"2011-12-31","1.02320",,,,,,,,,
"2011-11-30","1.02515",,,,,,,,,
"2011-10-31","1.02052",,,,,,,,,
"2011-09-30","0.999804",,,,,,,,,
"2011-08-31","0.981725",,,,,,,,,
"2011-07-31","0.955676",,,,,,,,,
"2011-06-30","0.978309",,,,,,,,,
"2011-05-31","0.967510",,,,,,,,,
"2011-04-30","0.957295",,,,,,,,,
"2011-03-31","0.976633",,,,,,,,,
"2011-02-28","0.986920",,,,,,,,,
"2011-01-31","0.994010",,,,,,,,,
"2010-12-31","1.00820",,,,,,,,,
"2010-11-30","1.01215",,,,,,,,,
"2010-10-31","1.01771",,,,,,,,,
"2010-09-30","1.03356",,,,,,,,,
"2010-08-31","1.03987",,,,,,,,,
"2010-07-31","1.04384",,,,,,,,,
"2010-06-30","1.03805",,,,,,,,,
"2010-05-31","1.04075",,,,,,,,,
"2010-04-30","1.00500",,,,,,,,,
"2010-03-31","1.02323",,,,,,,,,
"2010-02-28","1.05536",,,,,,,,,
"2010-01-31","1.04426",,,,,,,,,
"2009-12-31","1.05548",,,,,,,,,
"2009-11-30","1.06150",,,,,,,,,
"2009-10-31","1.05442",,,,,,,,,
"2009-09-30","1.08155",,,,,,,,,
"2009-08-31","1.08684",,,,,,,,,
"2009-07-31","1.12615",,,,,,,,,
"2009-06-30","1.12623",,,,,,,,,
"2009-05-31","1.15010",,,,,,,,,
"2009-04-30","1.22477",,,,,,,,,
"2009-03-31","1.26281",,,,,,,,,
"2009-02-28","1.24268",,,,,,,,,
"2009-01-31","1.22235",,,,,,,,,
"2008-12-31","1.23440",,,,,,,,,
"2008-11-30","1.22153",,,,,,,,,
"2008-10-31","1.17725",,,,,,,,,
"2008-09-30","1.05578",,,,,,,,,
"2008-08-31","1.05252",,,,,,,,,
"2008-07-31","1.01297",,,,,,,,,
"2008-06-30","1.01571",,,,,,,,,
