"End Date","USD/DKK","","","","","","","","",""
"2015-12-31","6.84972",,,,,,,,,
"2015-11-30","6.95557",,,,,,,,,
"2015-10-31","6.64821",,,,,,,,,
"2015-09-30","6.63943",,,,,,,,,
"2015-08-31","6.70383",,,,,,,,,
"2015-07-31","6.78089",,,,,,,,,
"2015-06-30","6.64938",,,,,,,,,
"2015-05-31","6.68295",,,,,,,,,
"2015-04-30","6.91411",,,,,,,,,
"2015-03-31","6.87711",,,,,,,,,
"2015-02-28","6.56171",,,,,,,,,
"2015-01-31","6.39736",,,,,,,,,
"2014-12-31","6.04277",,,,,,,,,
"2014-11-30","5.96506",,,,,,,,,
"2014-10-31","5.87590",,,,,,,,,
"2014-09-30","5.77321",,,,,,,,,
"2014-08-31","5.59673",,,,,,,,,
"2014-07-31","5.50542",,,,,,,,,
"2014-06-30","5.48364",,,,,,,,,
"2014-05-31","5.43350",,,,,,,,,
"2014-04-30","5.40626",,,,,,,,,
"2014-03-31","5.39773",,,,,,,,,
"2014-02-28","5.46493",,,,,,,,,
"2014-01-31","5.47585",,,,,,,,,
"2013-12-31","5.44432",,,,,,,,,
"2013-11-30","5.52728",,,,,,,,,
"2013-10-31","5.46774",,,,,,,,,
"2013-09-30","5.58356",,,,,,,,,
"2013-08-31","5.59932",,,,,,,,,
"2013-07-31","5.70067",,,,,,,,,
"2013-06-30","5.66023",,,,,,,,,
"2013-05-31","5.74136",,,,,,,,,
"2013-04-30","5.72344",,,,,,,,,
"2013-03-31","5.74868",,,,,,,,,
"2013-02-28","5.58101",,,,,,,,,
"2013-01-31","5.61349",,,,,,,,,
"2012-12-31","5.68890",,,,,,,,,
"2012-11-30","5.81321",,,,,,,,,
"2012-10-31","5.74767",,,,,,,,,
"2012-09-30","5.79382",,,,,,,,,
"2012-08-31","6.00429",,,,,,,,,
"2012-07-31","6.04830",,,,,,,,,
"2012-06-30","5.92624",,,,,,,,,
"2012-05-31","5.80217",,,,,,,,,
"2012-04-30","5.64933",,,,,,,,,
"2012-03-31","5.62800",,,,,,,,,
"2012-02-29","5.61771",,,,,,,,,
"2012-01-31","5.76248",,,,,,,,,
"2011-12-31","5.64404",,,,,,,,,
"2011-11-30","5.48511",,,,,,,,,
"2011-10-31","5.42723",,,,,,,,,
"2011-09-30","5.40572",,,,,,,,,
"2011-08-31","5.19386",,,,,,,,,
"2011-07-31","5.21126",,,,,,,,,
"2011-06-30","5.18353",,,,,,,,,
