name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
The Bourne Identity (2002)            ,"7.9 based on 405,077 user ratings",2002-06-14,Doug Liman,"Franka Potente,Matt Damon,Chris Cooper",68,848 user,248 critic,54,"amnesia,assassin,money,political-thriller,three-word-title","Action,Mystery,Thriller",Rated PG-13 for violence and some language,"USA,Germany,Czech Republic","English,French,German,Dutch,Italian",60000000,27118640(USA),121468960,119,Color,2.35:1
The Lord of the Rings: The Two Towers (2002)            ,"8.7 based on 1,097,724 user ratings",2002-12-18,NA,NA,88,"2,417 user",294 critic,663,"middle-earth,epic,ring,wizard,evil-wizard","Action,Adventure,Drama,Fantasy",Rated PG-13 for epic battle sequences and scary images,"USA,New Zealand","English,Sindarin,Old English",94000000,£13063560(UK),340478898,179,Color,2.35:1
Catch Me If You Can (2002)            ,"8.0 based on 523,763 user ratings",2002-12-25,Steven Spielberg,"Leonardo DiCaprio,Tom Hanks,Christopher Walken",76,666 user,194 critic,557,"fbi,pilot,pan-am,attorney,fbi-agent","Biography,Crime,Drama",Rated PG-13 for some sexual content and brief language,"USA,Canada","English,French",52000000,30082000(USA),164435221,141,Color,1.85:1
The Hours (2002)            ,"7.6 based on 101,993 user ratings",2003-02-14,Stephen Daldry,"Meryl Streep,Nicole Kidman,Julianne Moore",81,660 user,174 critic,2,"novel,party,reading,housewife,lesbian","Drama,Romance","Rated PG-13 for mature thematic elements, some disturbing images and brief language","USA,UK",English,25000000,338622(USA),41597830,114,Color,1.85:1
Chicago (2002)            ,"7.2 based on 171,837 user ratings",2003-01-24,Rob Marshall,"Renée Zellweger,Catherine Zeta-Jones,Richard Gere",82,"1,017 user",223 critic,1,"jazz-age,fame,murder,vaudeville,jail","Comedy,Crime,Musical","Rated PG-13 for sexual content and dialogue, violence and thematic elements","USA,Germany,Canada","English,Hungarian",45000000,£113386(UK),170684505,113, Black and White,1.85:1
John Q (2002)            ,"7.0 based on 98,712 user ratings",2002-02-15,Nick Cassavetes,"Denzel Washington,Robert Duvall,Gabriela Oltean",30,394 user,129 critic,3,"hospital,insurance,hostage,heart-transplant,health-care","Crime,Drama,Thriller","Rated PG-13 for violence, language and intense thematic elements",USA,"English,Spanish",36000000,23612171(USA),71026631,116,Color,1.85:1
Minority Report (2002)            ,"7.7 based on 398,748 user ratings",2002-06-21,Steven Spielberg,"Tom Cruise,Colin Farrell,Samantha Morton",80,"1,330 user",252 critic,1,"neo-noir,murder,future,washington-d.c.,year-2054","Action,Mystery,Sci-Fi,Thriller","Rated PG-13 for violence, brief language, some sexuality and drug content",USA,"English,Swedish",102000000,35677125(USA),132014112,145,Color,2.35:1
8 Mile (2002)            ,"7.0 based on 186,634 user ratings",2002-11-08,Curtis Hanson,"Eminem,Brittany Murphy,Kim Basinger",77,564 user,120 critic,1,"self-expression,competition,white-rapper,friend,contest","Drama,Music","Rated R for strong language, sexuality, some violence and drug use","USA,Germany",English,41000000,51240555(USA),116724075,110,Color,2.35:1
25th Hour (2002)            ,"7.7 based on 149,363 user ratings",2003-01-10,Spike Lee,"Edward Norton,Barry Pepper,Philip Seymour Hoffman",67,454 user,202 critic,3,"drug-dealing,dream,bar,nightclub,widower",Drama,Rated R for strong language and some violence,USA,English,15000000,108865(USA),13060843,135,Color,2.35:1
Road to Perdition (2002)            ,"7.7 based on 200,046 user ratings",2002-07-12,Sam Mendes,"Tom Hanks,Tyler Hoechlin,Rob Maxey",72,"1,009 user",226 critic,1,"1930s,on-the-run,blood,gun,revenge","Crime,Drama,Thriller",Rated R for violence and language,USA,English,80000000,22079481(USA),104054514,117,Color,2.35:1
